Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2020-03-20,Reimbursement - Cigna PPO,REF4000037,,1352920.64,218414463.81,Insurance Revenue,DEPOSIT
2020-03-25,Nursing Staff Payroll,EFT4000038,465888.72,,217948575.09,Salary Expense,WITHDRAWAL
2020-03-27,Satellite Clinic Lease,DEP4000039,699531.03,,217249044.06,Rent Expense,WITHDRAWAL
2020-03-28,Visiting Specialist Fees,TXN4000040,1122368.05,,216126676.01,Salary Expense,WITHDRAWAL
2020-03-29,Reimbursement - Anthem Select,BAL4000041,,2032329.53,218159005.54,Insurance Revenue,DEPOSIT
2020-03-31,Imaging Center Payment,DEP4000042,,323580.00,218482585.54,Patient Revenue,DEPOSIT
2020-04-02,Patient Balance Settlement,BAL4000043,,345030.64,218827616.18,Patient Revenue,DEPOSIT
2020-04-06,Cloud Services Lease,TXN4000044,455823.24,,218371792.94,Rent Expense,WITHDRAWAL
2020-04-07,Allergy Testing Panel,TXN4000045,,304710.66,218676503.60,Lab Revenue,DEPOSIT
2020-04-08,Information Technology,REF4000046,935221.34,,217741282.26,Salary Expense,WITHDRAWAL
2020-04-09,Operating Room Bill,TXN4000047,,421787.40,218163069.66,Patient Revenue,DEPOSIT
2020-04-10,Environmental Services,TXN4000048,1272194.95,,216890874.71,Salary Expense,WITHDRAWAL
2020-04-14,Medical Lab Technician,CHK4000049,853413.11,,216037461.60,Salary Expense,WITHDRAWAL
2020-04-15,Waste Disposal,WIR4000050,353982.97,,215683478.63,Utilities,WITHDRAWAL
2020-04-17,Consultation Fee,BAL4000051,,493588.64,216177067.27,Patient Revenue,DEPOSIT
2020-04-19,Health Records System License,BAL4000052,157730.86,,216019336.41,Software Expense,WITHDRAWAL
2020-04-21,Reimbursement - Humana Plus,EFT4000053,,2440885.91,218460222.32,Insurance Revenue,DEPOSIT
2020-04-22,Physical Therapy Session,ACH4000054,,33508.72,218493731.04,Patient Revenue,DEPOSIT
2020-04-23,Dental Plan Reimbursement,DEP4000055,,1332639.32,219826370.36,Insurance Revenue,DEPOSIT
2020-04-24,Surgical Robot System,INV4000056,3564272.96,,216262097.40,Equipment,WITHDRAWAL
2020-04-25,Reimbursement - Aetna Health,WIR4000057,,475938.17,216738035.57,Insurance Revenue,DEPOSIT
2020-04-26,Nursing Staff Payroll,ACH4000058,769263.77,,215968771.80,Salary Expense,WITHDRAWAL
2020-05-01,Campus Security,WIR4000059,914076.52,,215054695.28,Salary Expense,WITHDRAWAL
2020-05-02,Reimbursement - Aetna Health,CHK4000060,,1433852.71,216488547.99,Insurance Revenue,DEPOSIT
2020-05-03,Backup Generator Maintenance,ACH4000061,302370.77,,216186177.22,Utilities,WITHDRAWAL
2020-05-04,Compressed Air Systems,CHK4000062,332820.24,,215853356.98,Utilities,WITHDRAWAL
2020-05-08,Advanced Wound Care,INV4000063,143213.94,,215710143.04,Medical Supplies,WITHDRAWAL
2020-05-13,Over-the-Counter Sales,WIR4000064,,1251214.74,216961357.78,Pharmacy Revenue,DEPOSIT
2020-05-14,State Medicaid Program,CHK4000065,,1567636.40,218528994.18,Insurance Revenue,DEPOSIT
2020-05-15,Injectable Medication Sales,EFT4000066,,495135.84,219024130.02,Pharmacy Revenue,DEPOSIT
2020-05-16,Imaging Center Payment,INV4000067,,186911.63,219211041.65,Patient Revenue,DEPOSIT
2020-05-18,Dental Plan Reimbursement,CHK4000068,,2825291.32,222036332.97,Insurance Revenue,DEPOSIT
2020-05-20,Protective Gear and Clothing,ACH4000069,968054.97,,221068278.00,Medical Supplies,WITHDRAWAL
2020-05-21,Waste Disposal,DEP4000070,535879.25,,220532398.75,Utilities,WITHDRAWAL
2020-05-25,Patient Beds and Mattresses,CHK4000071,902367.92,,219630030.83,Medical Supplies,WITHDRAWAL
2020-05-26,Automated Lab Analyzer,DEP4000072,1644068.55,,217985962.28,Equipment,WITHDRAWAL
2020-05-27,Vaccination Administration,EFT4000073,,676230.37,218662192.65,Patient Revenue,DEPOSIT
2020-05-29,Imaging Equipment Lease,EFT4000074,460345.04,,218201847.61,Rent Expense,WITHDRAWAL
2020-05-31,Visiting Specialist Fees,TXN4000075,435728.81,,217766118.80,Salary Expense,WITHDRAWAL
2020-06-05,Electrical Power Supply,TXN4000076,247217.56,,217518901.24,Utilities,WITHDRAWAL
2020-06-06,Drape and Covering Supplies,TXN4000077,985871.91,,216533029.33,Medical Supplies,WITHDRAWAL
2020-06-07,Point of Care Device,REF4000078,892831.42,,215640197.91,Equipment,WITHDRAWAL
2020-06-08,Reimbursement - Humana Plus,REF4000079,,3436012.38,219076210.29,Insurance Revenue,DEPOSIT
2020-06-09,Behavioral Health Reimbursement,REF4000080,,306539.04,219382749.33,Insurance Revenue,DEPOSIT
2020-06-10,Imaging Center Payment,CHK4000081,,385412.56,219768161.89,Patient Revenue,DEPOSIT
2020-06-11,State Medicaid Program,INV4000082,,2210155.30,221978317.19,Insurance Revenue,DEPOSIT
2020-06-12,Over-the-Counter Sales,REF4000083,,451420.50,222429737.69,Pharmacy Revenue,DEPOSIT
2020-06-13,Medicare Part B Claim,CHK4000084,,2413893.34,224843631.03,Insurance Revenue,DEPOSIT
2020-06-14,Protective Gear and Clothing,TXN4000085,849572.18,,223994058.85,Medical Supplies,WITHDRAWAL
2020-06-19,Medical Doctor Compensation,ACH4000086,544633.95,,223449424.90,Salary Expense,WITHDRAWAL
2020-06-23,Urgent Care Visit,EFT4000087,,126742.43,223576167.33,Patient Revenue,DEPOSIT
2020-06-24,Reimbursement - Humana Plus,WIR4000088,,288737.67,223864905.00,Insurance Revenue,DEPOSIT
2020-06-27,Medical Lab Technician,INV4000089,921791.98,,222943113.02,Salary Expense,WITHDRAWAL
2020-06-29,Advanced Genomic Testing,TXN4000090,,975897.36,223919010.38,Lab Revenue,DEPOSIT
2020-07-01,Administrative Personnel,INV4000091,1345232.77,,222573777.61,Salary Expense,WITHDRAWAL
2020-07-02,Drug Administration Fee,DEP4000092,,68193.84,222641971.45,Patient Revenue,DEPOSIT
2020-07-04,Foundation and Structure,BAL4000093,691859.11,,221950112.34,Maintenance,WITHDRAWAL
2020-07-07,Over-the-Counter Sales,BAL4000094,,276665.95,222226778.29,Pharmacy Revenue,DEPOSIT
2020-07-09,Pest Control Treatment,EFT4000095,126439.59,,222100338.70,Maintenance,WITHDRAWAL
2020-07-10,Hypodermic Needles and Syringes,DEP4000096,127771.95,,221972566.75,Medical Supplies,WITHDRAWAL
2020-07-11,Tissue Sample Analysis,CHK4000097,,669131.28,222641698.03,Lab Revenue,DEPOSIT
2020-07-12,Emergency Transport Lease,TXN4000098,508673.33,,222133024.70,Rent Expense,WITHDRAWAL
2020-07-15,Physical Therapy Session,EFT4000099,,25905.04,222158929.74,Patient Revenue,DEPOSIT
2020-07-16,Campus Security,BAL4000100,1344118.30,,220814811.44,Salary Expense,WITHDRAWAL
2020-07-23,Nursing Staff Payroll,EFT4000101,1092092.69,,219722718.75,Salary Expense,WITHDRAWAL
2020-07-24,Administrative Personnel,EFT4000102,1305606.35,,218417112.40,Salary Expense,WITHDRAWAL
2020-07-27,Backup Generator Maintenance,INV4000103,262983.92,,218154128.48,Utilities,WITHDRAWAL
2020-07-28,Environmental Services,ACH4000104,453299.43,,217700829.05,Salary Expense,WITHDRAWAL
2020-07-29,Physical Therapy Session,INV4000105,,412976.54,218113805.59,Patient Revenue,DEPOSIT
2020-07-30,Surgical Instrument Packs,EFT4000106,924659.48,,217189146.11,Medical Supplies,WITHDRAWAL
2020-07-31,Controlled Substance Dispensing,INV4000107,,463879.75,217653025.86,Pharmacy Revenue,DEPOSIT
2020-08-05,Risk Mitigation Fund,ACH4000108,,61296.72,217714322.58,Transfer,TRANSFER
2020-08-07,Antibiotic Treatment,TXN4000109,,529330.39,218243652.97,Pharmacy Revenue,DEPOSIT
2020-08-11,Vaccination Administration,EFT4000110,,97158.33,218340811.30,Patient Revenue,DEPOSIT
2020-08-14,Behavioral Health Reimbursement,EFT4000111,,2863895.61,221204706.91,Insurance Revenue,DEPOSIT
2020-08-16,Primary Facility Lease,CHK4000112,1114984.66,,220089722.25,Rent Expense,WITHDRAWAL
2020-08-17,Vascular Access Equipment,INV4000113,351060.40,,219738661.85,Medical Supplies,WITHDRAWAL
2020-08-25,Surgical Equipment Rental,DEP4000114,1071148.20,,218667513.65,Rent Expense,WITHDRAWAL
2020-08-27,Consultation Fee,WIR4000115,,167685.59,218835199.24,Patient Revenue,DEPOSIT
2020-08-28,State Income Withholding,ACH4000116,606819.28,,218228379.96,Tax Payment,WITHDRAWAL
2020-08-30,IV Therapy Administration,INV4000117,,1164726.33,219393106.29,Pharmacy Revenue,DEPOSIT
2020-08-31,Campus Security,CHK4000118,416488.36,,218976617.93,Salary Expense,WITHDRAWAL
2020-09-02,Reimbursement - United Healthcare,EFT4000119,,2731026.98,221707644.91,Insurance Revenue,DEPOSIT
2020-09-03,Toxicology Screen,BAL4000120,,834273.28,222541918.19,Lab Revenue,DEPOSIT
2020-09-06,Visiting Specialist Fees,INV4000121,483407.18,,222058511.01,Salary Expense,WITHDRAWAL
2020-09-09,Reimbursement - Cigna PPO,ACH4000122,,1432627.50,223491138.51,Insurance Revenue,DEPOSIT
2020-09-10,Medical Lab Technician,WIR4000123,1518642.48,,221972496.03,Salary Expense,WITHDRAWAL
2020-09-11,Toxicology Screen,DEP4000124,,313385.13,222285881.16,Lab Revenue,DEPOSIT
2020-09-15,Patient Balance Settlement,BAL4000125,,431426.17,222717307.33,Patient Revenue,DEPOSIT
2020-09-16,Campus Security,REF4000126,832229.25,,221885078.08,Salary Expense,WITHDRAWAL
2020-09-18,Surgical Robot System,CHK4000127,1711953.94,,220173124.14,Equipment,WITHDRAWAL
2020-09-21,Fire Safety System,DEP4000128,315048.78,,219858075.36,Maintenance,WITHDRAWAL
2020-09-23,Vaccination Administration,INV4000129,,358125.72,220216201.08,Patient Revenue,DEPOSIT
2020-09-24,Reimbursement - United Healthcare,CHK4000130,,2949560.27,223165761.35,Insurance Revenue,DEPOSIT
2020-09-27,Controlled Substance Dispensing,REF4000131,,181105.63,223346866.98,Pharmacy Revenue,DEPOSIT
2020-09-28,Specialty Drug Sales,TXN4000132,,1012109.11,224358976.09,Pharmacy Revenue,DEPOSIT
2020-10-03,Consultation Fee,WIR4000133,,294708.81,224653684.90,Patient Revenue,DEPOSIT
2020-10-07,Vascular Access Equipment,INV4000134,271987.25,,224381697.65,Medical Supplies,WITHDRAWAL
2020-10-09,Reimbursement - Humana Plus,TXN4000135,,2471922.33,226853619.98,Insurance Revenue,DEPOSIT
2020-10-12,Microsoft Enterprise,EFT4000136,150574.69,,226703045.29,Software Expense,WITHDRAWAL
2020-10-15,Administrative Personnel,BAL4000137,1419832.63,,225283212.66,Salary Expense,WITHDRAWAL
2020-10-16,Advanced Wound Care,DEP4000138,549283.08,,224733929.58,Medical Supplies,WITHDRAWAL
2020-10-18,Encrypted Data Backup,TXN4000139,293382.84,,224440546.74,Software Expense,WITHDRAWAL
2020-10-22,Consultation Fee,DEP4000140,,300470.97,224741017.71,Patient Revenue,DEPOSIT
2020-10-30,Billing and Coding Staff,EFT4000141,818496.31,,223922521.40,Salary Expense,WITHDRAWAL
2020-11-02,Reimbursement - Blue Cross Blue Shield,CHK4000142,,2428090.97,226350612.37,Insurance Revenue,DEPOSIT
2020-11-04,Advanced Genomic Testing,CHK4000143,,736921.17,227087533.54,Lab Revenue,DEPOSIT
2020-11-08,Consultation Fee,WIR4000144,,260625.73,227348159.27,Patient Revenue,DEPOSIT
2020-11-12,Medical Lab Technician,REF4000145,1337042.64,,226011116.63,Salary Expense,WITHDRAWAL
2020-11-15,Physical Therapy Session,REF4000146,,454360.28,226465476.91,Patient Revenue,DEPOSIT
2020-11-16,Billing and Coding Staff,INV4000147,1140527.51,,225324949.40,Salary Expense,WITHDRAWAL
2020-11-17,Reimbursement - United Healthcare,REF4000148,,883756.86,226208706.26,Insurance Revenue,DEPOSIT
2020-11-19,State Medicaid Program,DEP4000149,,2201421.86,228410128.12,Insurance Revenue,DEPOSIT
2020-11-21,Emergency Room Charges,REF4000150,,406194.96,228816323.08,Patient Revenue,DEPOSIT
2020-11-23,Behavioral Health Reimbursement,WIR4000151,,690468.47,229506791.55,Insurance Revenue,DEPOSIT
2020-11-29,Electrical Wiring Upgrade,WIR4000152,638416.58,,228868374.97,Maintenance,WITHDRAWAL
2020-12-01,Surgical Instrument Packs,WIR4000153,431626.97,,228436748.00,Medical Supplies,WITHDRAWAL
2020-12-02,Environmental Services,DEP4000154,1508374.24,,226928373.76,Salary Expense,WITHDRAWAL
2020-12-05,Immunization Services,TXN4000155,,330094.06,227258467.82,Pharmacy Revenue,DEPOSIT
2020-12-06,Patient Beds and Mattresses,CHK4000156,908437.53,,226350030.29,Medical Supplies,WITHDRAWAL
2020-12-08,Point of Care Device,CHK4000157,1844762.00,,224505268.29,Equipment,WITHDRAWAL
2020-12-13,Plumbing System Service,ACH4000158,249791.66,,224255476.63,Maintenance,WITHDRAWAL
2020-12-15,Reimbursement - United Healthcare,INV4000159,,332392.58,224587869.21,Insurance Revenue,DEPOSIT
2020-12-17,Urgent Care Visit,CHK4000160,,508522.75,225096391.96,Patient Revenue,DEPOSIT
2020-12-22,Patient Balance Settlement,DEP4000161,,462748.24,225559140.20,Patient Revenue,DEPOSIT
2020-12-25,Diagnostic Services,ACH4000162,,546177.23,226105317.43,Patient Revenue,DEPOSIT
2020-12-26,Primary Facility Lease,ACH4000163,578060.76,,225527256.67,Rent Expense,WITHDRAWAL
2020-12-27,Consultation Fee,BAL4000164,,184670.30,225711926.97,Patient Revenue,DEPOSIT
2020-12-28,Patient Beds and Mattresses,BAL4000165,116571.45,,225595355.52,Medical Supplies,WITHDRAWAL
2020-12-31,Medicare Part B Claim,WIR4000166,,2300321.61,227895677.13,Insurance Revenue,DEPOSIT
2021-01-01,Imaging Center Payment,DEP4000167,,587234.03,228482911.16,Patient Revenue,DEPOSIT
2021-01-02,Emergency Room Charges,REF4000168,,141263.75,228624174.91,Patient Revenue,DEPOSIT
2021-01-03,Waste Disposal,BAL4000169,516436.41,,228107738.50,Utilities,WITHDRAWAL
2021-01-05,Prescription Filling Revenue,EFT4000170,,301355.20,228409093.70,Pharmacy Revenue,DEPOSIT
2021-01-09,Diagnostic Services,DEP4000171,,395944.11,228805037.81,Patient Revenue,DEPOSIT
2021-01-12,Over-the-Counter Sales,INV4000172,,366259.45,229171297.26,Pharmacy Revenue,DEPOSIT
2021-01-16,Consultation Fee,REF4000173,,318789.43,229490086.69,Patient Revenue,DEPOSIT
2021-01-22,Reimbursement - United Healthcare,BAL4000174,,888462.21,230378548.90,Insurance Revenue,DEPOSIT
2021-01-23,State Medicaid Program,WIR4000175,,2945254.26,233323803.16,Insurance Revenue,DEPOSIT
2021-01-25,Specialty Drug Sales,BAL4000176,,1129991.57,234453794.73,Pharmacy Revenue,DEPOSIT
2021-01-27,Urgent Care Visit,TXN4000177,,347531.88,234801326.61,Patient Revenue,DEPOSIT
2021-01-28,Antibiotic Treatment,CHK4000178,,300705.80,235102032.41,Pharmacy Revenue,DEPOSIT
2021-01-29,Reimbursement - Aetna Health,EFT4000179,,2521122.35,237623154.76,Insurance Revenue,DEPOSIT
2021-02-01,Medicare Part B Claim,REF4000180,,703654.88,238326809.64,Insurance Revenue,DEPOSIT
2021-02-02,Respiratory Support,REF4000181,222166.43,,238104643.21,Medical Supplies,WITHDRAWAL
2021-02-04,Pharmaceutical Wholesale Markup,REF4000182,,1188632.14,239293275.35,Pharmacy Revenue,DEPOSIT
2021-02-05,Reimbursement - Cigna PPO,EFT4000183,,1913908.96,241207184.31,Insurance Revenue,DEPOSIT
2021-02-06,Consultation Fee,DEP4000184,,710115.03,241917299.34,Patient Revenue,DEPOSIT
2021-02-09,Clinical Fellow Stipend,WIR4000185,692489.94,,241224809.40,Salary Expense,WITHDRAWAL
2021-02-10,Reimbursement - United Healthcare,CHK4000186,,1980561.41,243205370.81,Insurance Revenue,DEPOSIT
2021-02-13,Administrative Personnel,TXN4000187,669254.27,,242536116.54,Salary Expense,WITHDRAWAL
2021-02-17,Advanced Wound Care,REF4000188,280122.07,,242255994.47,Medical Supplies,WITHDRAWAL
2021-02-18,Medicare Part B Claim,BAL4000189,,1775961.02,244031955.49,Insurance Revenue,DEPOSIT
2021-02-19,Visiting Specialist Fees,WIR4000190,803420.57,,243228534.92,Salary Expense,WITHDRAWAL
2021-02-20,Protective Gear and Clothing,INV4000191,421311.56,,242807223.36,Medical Supplies,WITHDRAWAL
2021-02-21,Imaging Equipment Lease,BAL4000192,750981.89,,242056241.47,Rent Expense,WITHDRAWAL
2021-02-22,Diagnostic Services,DEP4000193,,333790.14,242390031.61,Patient Revenue,DEPOSIT
2021-02-27,Surgical Instrument Packs,TXN4000194,242633.30,,242147398.31,Medical Supplies,WITHDRAWAL
2021-03-05,Drug Administration Fee,REF4000195,,246103.15,242393501.46,Patient Revenue,DEPOSIT
2021-03-07,Diagnostic Services,INV4000196,,192746.75,242586248.21,Patient Revenue,DEPOSIT
2021-03-11,Diagnostic Services,BAL4000197,,321158.74,242907406.95,Patient Revenue,DEPOSIT
2021-03-13,Billing and Coding Staff,BAL4000198,950275.28,,241957131.67,Salary Expense,WITHDRAWAL
2021-03-14,Clinical Fellow Stipend,DEP4000199,634294.52,,241322837.15,Salary Expense,WITHDRAWAL
2021-03-16,Patient Balance Settlement,INV4000200,,303878.31,241626715.46,Patient Revenue,DEPOSIT
2021-03-18,Lift System Maintenance,DEP4000201,501197.28,,241125518.18,Maintenance,WITHDRAWAL
2021-03-19,Protective Gear and Clothing,ACH4000202,1133460.53,,239992057.65,Medical Supplies,WITHDRAWAL
2021-03-20,Reimbursement - Aetna Health,DEP4000203,,867497.75,240859555.40,Insurance Revenue,DEPOSIT
2021-03-27,Vehicle Fleet Lease,DEP4000204,1124027.56,,239735527.84,Rent Expense,WITHDRAWAL
2021-03-30,Nursing Staff Payroll,INV4000205,1459506.82,,238276021.02,Salary Expense,WITHDRAWAL
2021-03-31,Reimbursement - Blue Cross Blue Shield,INV4000206,,1326372.03,239602393.05,Insurance Revenue,DEPOSIT
2021-04-02,Preventive Equipment Service,TXN4000207,234596.89,,239367796.16,Maintenance,WITHDRAWAL
2021-04-06,Cloud Services Lease,EFT4000208,848260.05,,238519536.11,Rent Expense,WITHDRAWAL
2021-04-07,Operating Reserve Transfer,INV4000209,22852.85,,238496683.26,Transfer,TRANSFER
2021-04-10,Pest Control Treatment,INV4000210,686269.81,,237810413.45,Maintenance,WITHDRAWAL
2021-04-16,Pharmaceutical Wholesale Markup,TXN4000211,,88718.59,237899132.04,Pharmacy Revenue,DEPOSIT
2021-04-25,Respiratory Support,DEP4000212,930307.03,,236968825.01,Medical Supplies,WITHDRAWAL
2021-04-28,Mechanical Ventilator,ACH4000213,3033029.83,,233935795.18,Equipment,WITHDRAWAL
2021-04-30,Laboratory Test Kits,CHK4000214,593897.53,,233341897.65,Medical Supplies,WITHDRAWAL
2021-05-01,Vascular Access Equipment,EFT4000215,392140.05,,232949757.60,Medical Supplies,WITHDRAWAL
2021-05-02,Environmental Services,WIR4000216,1224799.80,,231724957.80,Salary Expense,WITHDRAWAL
2021-05-05,Patient Beds and Mattresses,TXN4000217,804773.67,,230920184.13,Medical Supplies,WITHDRAWAL
2021-05-06,Surgical Instrument Packs,ACH4000218,322915.45,,230597268.68,Medical Supplies,WITHDRAWAL
2021-05-08,Campus Security,WIR4000219,1468840.74,,229128427.94,Salary Expense,WITHDRAWAL
2021-05-10,Operating Room Bill,TXN4000220,,291638.89,229420066.83,Patient Revenue,DEPOSIT
2021-05-12,Thyroid Function Panel,DEP4000221,,859977.76,230280044.59,Lab Revenue,DEPOSIT
2021-05-13,Respiratory Support,EFT4000222,1159515.93,,229120528.66,Medical Supplies,WITHDRAWAL
2021-05-15,Sample Management,REF4000223,381251.71,,228739276.95,Software Expense,WITHDRAWAL
2021-05-18,Imaging Center Payment,BAL4000224,,704275.86,229443552.81,Patient Revenue,DEPOSIT
2021-05-19,Behavioral Health Reimbursement,BAL4000225,,1128939.52,230572492.33,Insurance Revenue,DEPOSIT
2021-05-23,State Medicaid Program,WIR4000226,,3015549.23,233588041.56,Insurance Revenue,DEPOSIT
2021-05-24,Campus Security,BAL4000227,597966.45,,232990075.11,Salary Expense,WITHDRAWAL
2021-05-25,Urgent Care Visit,WIR4000228,,157837.07,233147912.18,Patient Revenue,DEPOSIT
2021-05-31,Medical Doctor Compensation,WIR4000229,798667.56,,232349244.62,Salary Expense,WITHDRAWAL
2021-06-01,Campus Security,WIR4000230,1347354.89,,231001889.73,Salary Expense,WITHDRAWAL
2021-06-03,Federal Estimated Tax,EFT4000231,904844.26,,230097045.47,Tax Payment,WITHDRAWAL
2021-06-04,Operating Room Bill,EFT4000232,,166568.71,230263614.18,Patient Revenue,DEPOSIT
2021-06-05,Diagnostic Services,ACH4000233,,250177.08,230513791.26,Patient Revenue,DEPOSIT
2021-06-06,Emergency Room Charges,REF4000234,,144201.92,230657993.18,Patient Revenue,DEPOSIT
2021-06-07,Diagnostic Services,REF4000235,,537850.69,231195843.87,Patient Revenue,DEPOSIT
2021-06-08,Controlled Substance Dispensing,ACH4000236,,311255.09,231507098.96,Pharmacy Revenue,DEPOSIT
2021-06-10,Vaccination Administration,WIR4000237,,593443.46,232100542.42,Patient Revenue,DEPOSIT
2021-06-11,Medical Doctor Compensation,WIR4000238,854327.33,,231246215.09,Salary Expense,WITHDRAWAL
2021-06-12,Imaging Center Payment,INV4000239,,713321.31,231959536.40,Patient Revenue,DEPOSIT
2021-06-14,Reimbursement - Anthem Select,WIR4000240,,1161129.12,233120665.52,Insurance Revenue,DEPOSIT
2021-06-15,Reimbursement - Cigna PPO,BAL4000241,,2054023.76,235174689.28,Insurance Revenue,DEPOSIT
2021-06-18,Drug Administration Fee,TXN4000242,,332711.75,235507401.03,Patient Revenue,DEPOSIT
2021-06-19,Information Technology,REF4000243,1020483.62,,234486917.41,Salary Expense,WITHDRAWAL
2021-06-23,Reimbursement - Anthem Select,DEP4000244,,909519.38,235396436.79,Insurance Revenue,DEPOSIT
2021-06-26,Medical Doctor Compensation,BAL4000245,1234081.25,,234162355.54,Salary Expense,WITHDRAWAL
2021-06-29,Information Technology,REF4000246,1464401.92,,232697953.62,Salary Expense,WITHDRAWAL
2021-07-01,Reimbursement - Humana Plus,CHK4000247,,390136.05,233088089.67,Insurance Revenue,DEPOSIT
2021-07-03,Microsoft Enterprise,BAL4000248,114914.15,,232973175.52,Software Expense,WITHDRAWAL
2021-07-04,MRI Scanner Module,BAL4000249,1103186.32,,231869989.20,Equipment,WITHDRAWAL
2021-07-07,Imaging Center Payment,EFT4000250,,204237.19,232074226.39,Patient Revenue,DEPOSIT
2021-07-10,Operating Room Bill,ACH4000251,,531418.48,232605644.87,Patient Revenue,DEPOSIT
2021-07-13,Toxicology Screen,TXN4000252,,1054105.30,233659750.17,Lab Revenue,DEPOSIT
2021-07-14,Billing and Coding Staff,INV4000253,1404363.01,,232255387.16,Salary Expense,WITHDRAWAL
2021-07-17,Clinical Fellow Stipend,BAL4000254,941718.02,,231313669.14,Salary Expense,WITHDRAWAL
2021-07-18,Consultation Fee,DEP4000255,,385047.26,231698716.40,Patient Revenue,DEPOSIT
2021-07-20,Electrical Wiring Upgrade,INV4000256,243432.09,,231455284.31,Maintenance,WITHDRAWAL
2021-07-21,MRI Scanner Module,TXN4000257,3145021.81,,228310262.50,Equipment,WITHDRAWAL
2021-07-22,Reimbursement - Blue Cross Blue Shield,EFT4000258,,2782244.85,231092507.35,Insurance Revenue,DEPOSIT
