Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2026-02-23,Bank Charges,REF1044,437.00,0.00,25894.32,Bank Charges,WITHDRAWAL
2026-03-14,Utility Bill - Electricity,REF1045,4536.01,0.00,21358.31,Utilities,WITHDRAWAL
2026-01-04,Bank Charges,REF1046,680.64,0.00,20677.67,Bank Charges,WITHDRAWAL
2026-03-20,Maintenance - Equipment,REF1047,7709.20,0.00,12968.47,Maintenance,WITHDRAWAL
2026-03-08,Equipment Loan Payment,REF1048,16056.71,0.00,-3088.24,Equipment Payments,WITHDRAWAL
2025-12-06,Salary Payments - Staff,REF1049,60234.97,0.00,-63323.21,Salaries,WITHDRAWAL
2025-12-26,Medical Supplies Purchase,REF1050,18542.59,0.00,-81865.80,Medical Supplies,WITHDRAWAL
2026-01-31,Software Subscription - HMS,REF1051,1726.59,0.00,-83592.39,Software Subscriptions,WITHDRAWAL
2026-03-10,Lab Revenue,REF1052,0.00,14970.86,-68621.53,Lab Revenue,DEPOSIT
2025-11-14,Pharmacy Sales,REF1053,0.00,10236.68,-58384.85,Pharmacy Sales,DEPOSIT
2025-12-02,Lab Revenue,REF1054,0.00,9606.46,-48778.39,Lab Revenue,DEPOSIT
2025-11-25,Patient Payment - OPD,REF1055,0.00,18583.65,-30194.74,Patient Payments,DEPOSIT
2025-12-17,Tax Payment - KRA,REF1056,13457.28,0.00,-43652.02,Tax Payments,WITHDRAWAL
2025-12-02,Software Subscription - HMS,REF1057,1904.68,0.00,-45556.70,Software Subscriptions,WITHDRAWAL
2025-11-18,Salary Payments - Staff,REF1058,52630.24,0.00,-98186.94,Salaries,WITHDRAWAL
2025-11-15,Equipment Loan Payment,REF1059,19520.80,0.00,-117707.74,Equipment Payments,WITHDRAWAL
2025-12-16,Tax Payment - KRA,REF1060,18742.09,0.00,-136449.83,Tax Payments,WITHDRAWAL
2026-01-17,Equipment Loan Payment,REF1061,16750.53,0.00,-153200.36,Equipment Payments,WITHDRAWAL
2026-01-10,Medical Supplies Purchase,REF1062,17684.95,0.00,-170885.31,Medical Supplies,WITHDRAWAL
2026-03-25,Insurance Reimbursement - NHIF,REF1063,0.00,27920.01,-142965.30,Insurance Reimbursements,DEPOSIT
2025-11-06,Software Subscription - HMS,REF1064,2554.18,0.00,-145519.48,Software Subscriptions,WITHDRAWAL
2025-12-02,Insurance Reimbursement - NHIF,REF1065,0.00,28144.11,-117375.37,Insurance Reimbursements,DEPOSIT
2026-01-04,Insurance Reimbursement - NHIF,REF1066,0.00,17495.40,-99879.97,Insurance Reimbursements,DEPOSIT
2026-01-27,Maintenance - Equipment,REF1067,6377.82,0.00,-106257.79,Maintenance,WITHDRAWAL
2025-11-26,Tax Payment - KRA,REF1068,29644.60,0.00,-135902.39,Tax Payments,WITHDRAWAL
2026-02-21,Patient Payment - OPD,REF1069,0.00,14404.84,-121497.55,Patient Payments,DEPOSIT
2025-11-16,Insurance Reimbursement - NHIF,REF1070,0.00,20762.54,-100735.01,Insurance Reimbursements,DEPOSIT
2026-01-23,Patient Payment - OPD,REF1071,0.00,18862.63,-81872.38,Patient Payments,DEPOSIT
2025-11-16,Lab Revenue,REF1072,0.00,12783.02,-69089.36,Lab Revenue,DEPOSIT
2026-02-03,Utility Bill - Electricity,REF1073,3844.48,0.00,-72933.84,Utilities,WITHDRAWAL
2025-11-10,Insurance Reimbursement - NHIF,REF1074,0.00,17514.14,-55419.70,Insurance Reimbursements,DEPOSIT
2025-12-09,Equipment Loan Payment,REF1075,18278.60,0.00,-73698.30,Equipment Payments,WITHDRAWAL
2025-11-20,Pharmacy Sales,REF1076,0.00,5932.31,-67765.99,Pharmacy Sales,DEPOSIT
2026-03-01,Maintenance - Equipment,REF1077,6805.80,0.00,-74571.79,Maintenance,WITHDRAWAL
2025-12-16,Transfer to Savings,REF1078,24943.61,0.00,-99515.40,Transfers,TRANSFER
2026-03-20,Lab Revenue,REF1079,0.00,15093.86,-84421.54,Lab Revenue,DEPOSIT
2025-11-11,Maintenance - Equipment,REF1080,3729.03,0.00,-88150.57,Maintenance,WITHDRAWAL
2025-11-15,Utility Bill - Electricity,REF1081,2467.05,0.00,-90617.62,Utilities,WITHDRAWAL
2026-03-26,Lab Revenue,REF1082,0.00,17663.32,-72954.30,Lab Revenue,DEPOSIT
2025-12-10,Utility Bill - Electricity,REF1083,3246.30,0.00,-76200.60,Utilities,WITHDRAWAL
2026-01-06,Equipment Loan Payment,REF1084,17522.11,0.00,-93722.71,Equipment Payments,WITHDRAWAL
2025-12-13,Maintenance - Equipment,REF1085,6669.10,0.00,-100391.81,Maintenance,WITHDRAWAL
2026-01-30,Insurance Reimbursement - NHIF,REF1086,0.00,26215.50,-74176.31,Insurance Reimbursements,DEPOSIT
2026-03-01,Utility Bill - Electricity,REF1087,4216.60,0.00,-78392.91,Utilities,WITHDRAWAL
2025-12-06,Salary Payments - Staff,REF1088,56300.53,0.00,-134693.44,Salaries,WITHDRAWAL
2025-12-30,Medical Supplies Purchase,REF1089,9760.74,0.00,-144454.18,Medical Supplies,WITHDRAWAL
2025-11-08,Transfer to Savings,REF1090,15207.29,0.00,-159661.47,Transfers,TRANSFER
2026-03-11,Tax Payment - KRA,REF1091,14270.81,0.00,-173932.28,Tax Payments,WITHDRAWAL
2026-03-02,Utility Bill - Electricity,REF1092,4334.96,0.00,-178267.24,Utilities,WITHDRAWAL
2026-02-03,Software Subscription - HMS,REF1093,1974.51,0.00,-180241.75,Software Subscriptions,WITHDRAWAL
2026-01-02,Pharmacy Sales,REF1094,0.00,9049.29,-171192.46,Pharmacy Sales,DEPOSIT
2026-01-03,Salary Payments - Staff,REF1095,58544.24,0.00,-229736.70,Salaries,WITHDRAWAL
2025-12-31,Bank Charges,REF1096,240.48,0.00,-229977.18,Bank Charges,WITHDRAWAL
2025-12-14,Bank Charges,REF1097,613.37,0.00,-230590.55,Bank Charges,WITHDRAWAL
2026-02-07,Bank Charges,REF1098,469.58,0.00,-231060.13,Bank Charges,WITHDRAWAL
2026-01-22,Maintenance - Equipment,REF1099,5641.10,0.00,-236701.23,Maintenance,WITHDRAWAL
2026-03-02,Pharmacy Sales,REF1100,0.00,10463.57,-226237.66,Pharmacy Sales,DEPOSIT
2025-11-22,Pharmacy Sales,REF1101,0.00,7534.17,-218703.49,Pharmacy Sales,DEPOSIT
2026-02-02,Utility Bill - Electricity,REF1102,3688.74,0.00,-222392.23,Utilities,WITHDRAWAL
2026-03-11,Insurance Reimbursement - NHIF,REF1103,0.00,28669.93,-193722.30,Insurance Reimbursements,DEPOSIT
2026-03-07,Salary Payments - Staff,REF1104,67575.62,0.00,-261297.92,Salaries,WITHDRAWAL
2026-03-10,Transfer to Savings,REF1105,23910.64,0.00,-285208.56,Transfers,TRANSFER
2025-11-01,Equipment Loan Payment,REF1106,19037.12,0.00,-304245.68,Equipment Payments,WITHDRAWAL
2026-03-08,Pharmacy Sales,REF1107,0.00,5521.78,-298723.90,Pharmacy Sales,DEPOSIT
2026-01-22,Maintenance - Equipment,REF1108,6909.40,0.00,-305633.30,Maintenance,WITHDRAWAL
2025-11-21,Lab Revenue,REF1109,0.00,9991.68,-295641.62,Lab Revenue,DEPOSIT
2025-12-17,Bank Charges,REF1110,714.35,0.00,-296355.97,Bank Charges,WITHDRAWAL
2025-11-03,Software Subscription - HMS,REF1111,2672.78,0.00,-299028.75,Software Subscriptions,WITHDRAWAL
2026-03-02,Insurance Reimbursement - NHIF,REF1112,0.00,21473.78,-277554.97,Insurance Reimbursements,DEPOSIT
2026-01-03,Salary Payments - Staff,REF1113,53652.83,0.00,-331207.80,Salaries,WITHDRAWAL
2025-11-10,Medical Supplies Purchase,REF1114,16532.18,0.00,-347739.98,Medical Supplies,WITHDRAWAL
2026-02-27,Equipment Loan Payment,REF1115,22072.27,0.00,-369812.25,Equipment Payments,WITHDRAWAL
2026-02-08,Salary Payments - Staff,REF1116,60662.28,0.00,-430474.53,Salaries,WITHDRAWAL
2026-03-12,Maintenance - Equipment,REF1117,5640.26,0.00,-436114.79,Maintenance,WITHDRAWAL
2026-01-23,Equipment Loan Payment,REF1118,23415.31,0.00,-459530.10,Equipment Payments,WITHDRAWAL
2026-03-26,Utility Bill - Electricity,REF1119,4790.22,0.00,-464320.32,Utilities,WITHDRAWAL
2026-03-27,Lab Revenue,REF1120,0.00,13394.38,-450925.94,Lab Revenue,DEPOSIT
2026-01-05,Maintenance - Equipment,REF1121,3235.58,0.00,-454161.52,Maintenance,WITHDRAWAL
2025-11-01,Maintenance - Equipment,REF1122,5708.57,0.00,-459870.09,Maintenance,WITHDRAWAL
2025-12-28,Equipment Loan Payment,REF1123,23609.44,0.00,-483479.53,Equipment Payments,WITHDRAWAL
2026-02-01,Software Subscription - HMS,REF1124,2775.18,0.00,-486254.71,Software Subscriptions,WITHDRAWAL
2025-12-01,Patient Payment - OPD,REF1125,0.00,9278.82,-476975.89,Patient Payments,DEPOSIT
2026-02-17,Pharmacy Sales,REF1126,0.00,10383.55,-466592.34,Pharmacy Sales,DEPOSIT
2025-12-11,Pharmacy Sales,REF1127,0.00,11876.08,-454716.26,Pharmacy Sales,DEPOSIT
2025-12-29,Lab Revenue,REF1128,0.00,12850.26,-441866.00,Lab Revenue,DEPOSIT
2026-02-04,Patient Payment - OPD,REF1129,0.00,11000.54,-430865.46,Patient Payments,DEPOSIT
2026-03-13,Bank Charges,REF1130,387.30,0.00,-431252.76,Bank Charges,WITHDRAWAL
2026-02-21,Medical Supplies Purchase,REF1131,11969.79,0.00,-443222.55,Medical Supplies,WITHDRAWAL
2026-01-28,Patient Payment - OPD,REF1132,0.00,10028.95,-433193.60,Patient Payments,DEPOSIT
2026-03-10,Pharmacy Sales,REF1133,0.00,6747.77,-426445.83,Pharmacy Sales,DEPOSIT
2026-01-30,Pharmacy Sales,REF1134,0.00,6674.80,-419771.03,Pharmacy Sales,DEPOSIT
2026-03-10,Bank Charges,REF1135,361.72,0.00,-420132.75,Bank Charges,WITHDRAWAL
2026-02-21,Medical Supplies Purchase,REF1136,15357.50,0.00,-435490.25,Medical Supplies,WITHDRAWAL
2026-01-25,Insurance Reimbursement - NHIF,REF1137,0.00,17828.81,-417661.44,Insurance Reimbursements,DEPOSIT
2025-11-30,Utility Bill - Electricity,REF1138,3185.48,0.00,-420846.92,Utilities,WITHDRAWAL
2026-02-10,Medical Supplies Purchase,REF1139,14860.23,0.00,-435707.15,Medical Supplies,WITHDRAWAL
2025-12-29,Equipment Loan Payment,REF1140,17189.03,0.00,-452896.18,Equipment Payments,WITHDRAWAL
2025-12-01,Lab Revenue,REF1141,0.00,17475.16,-435421.02,Lab Revenue,DEPOSIT
2025-11-10,Equipment Loan Payment,REF1142,19718.65,0.00,-455139.67,Equipment Payments,WITHDRAWAL
2026-02-28,Pharmacy Sales,REF1143,0.00,7232.30,-447907.37,Pharmacy Sales,DEPOSIT
2025-12-08,Lab Revenue,REF1144,0.00,16411.58,-431495.79,Lab Revenue,DEPOSIT
2026-01-12,Maintenance - Equipment,REF1145,4390.88,0.00,-435886.67,Maintenance,WITHDRAWAL
2026-03-10,Patient Payment - OPD,REF1146,0.00,8711.52,-427175.15,Patient Payments,DEPOSIT
2026-03-13,Lab Revenue,REF1147,0.00,12274.69,-414900.46,Lab Revenue,DEPOSIT
2026-03-30,Patient Payment - OPD,REF1148,0.00,19162.28,-395738.18,Patient Payments,DEPOSIT
2026-03-06,Salary Payments - Staff,REF1149,68751.34,0.00,-464489.52,Salaries,WITHDRAWAL
2026-01-26,Tax Payment - KRA,REF1150,24207.47,0.00,-488696.99,Tax Payments,WITHDRAWAL
2026-03-20,Patient Payment - OPD,REF1151,0.00,19434.39,-469262.60,Patient Payments,DEPOSIT
2025-12-28,Medical Supplies Purchase,REF1152,16821.16,0.00,-486083.76,Medical Supplies,WITHDRAWAL
2025-12-08,Bank Charges,REF1153,597.56,0.00,-486681.32,Bank Charges,WITHDRAWAL
2026-03-13,Bank Charges,REF1154,798.06,0.00,-487479.38,Bank Charges,WITHDRAWAL
2026-01-16,Salary Payments - Staff,REF1155,64898.70,0.00,-552378.08,Salaries,WITHDRAWAL
2026-02-12,Utility Bill - Electricity,REF1156,2752.14,0.00,-555130.22,Utilities,WITHDRAWAL
2025-12-26,Insurance Reimbursement - NHIF,REF1157,0.00,20982.22,-534148.00,Insurance Reimbursements,DEPOSIT
2026-01-14,Lab Revenue,REF1158,0.00,17104.39,-517043.61,Lab Revenue,DEPOSIT
2025-12-20,Salary Payments - Staff,REF1159,40371.37,0.00,-557414.98,Salaries,WITHDRAWAL
2026-02-26,Bank Charges,REF1160,767.87,0.00,-558182.85,Bank Charges,WITHDRAWAL
2026-02-07,Transfer to Savings,REF1161,21491.80,0.00,-579674.65,Transfers,TRANSFER
2026-01-02,Salary Payments - Staff,REF1162,46440.12,0.00,-626114.77,Salaries,WITHDRAWAL
2026-01-07,Equipment Loan Payment,REF1163,20079.01,0.00,-646193.78,Equipment Payments,WITHDRAWAL
2025-12-22,Utility Bill - Electricity,REF1164,4595.70,0.00,-650789.48,Utilities,WITHDRAWAL
2026-03-31,Pharmacy Sales,REF1165,0.00,5205.59,-645583.89,Pharmacy Sales,DEPOSIT
2026-02-26,Utility Bill - Electricity,REF1166,4169.31,0.00,-649753.20,Utilities,WITHDRAWAL
2026-02-07,Utility Bill - Electricity,REF1167,3971.42,0.00,-653724.62,Utilities,WITHDRAWAL
2026-01-30,Utility Bill - Electricity,REF1168,4309.01,0.00,-658033.63,Utilities,WITHDRAWAL
2025-12-15,Equipment Loan Payment,REF1169,23652.19,0.00,-681685.82,Equipment Payments,WITHDRAWAL
2025-11-25,Software Subscription - HMS,REF1170,2818.96,0.00,-684504.78,Software Subscriptions,WITHDRAWAL
2026-03-02,Tax Payment - KRA,REF1171,21437.55,0.00,-705942.33,Tax Payments,WITHDRAWAL
2026-03-02,Salary Payments - Staff,REF1172,58696.76,0.00,-764639.09,Salaries,WITHDRAWAL
2026-03-12,Patient Payment - OPD,REF1173,0.00,9051.24,-755587.85,Patient Payments,DEPOSIT
2025-12-11,Bank Charges,REF1174,699.99,0.00,-756287.84,Bank Charges,WITHDRAWAL
2026-01-08,Medical Supplies Purchase,REF1175,8715.23,0.00,-765003.07,Medical Supplies,WITHDRAWAL
2025-12-16,Medical Supplies Purchase,REF1176,11886.28,0.00,-776889.35,Medical Supplies,WITHDRAWAL
2026-02-21,Software Subscription - HMS,REF1177,2617.13,0.00,-779506.48,Software Subscriptions,WITHDRAWAL
2026-02-26,Tax Payment - KRA,REF1178,15743.72,0.00,-795250.20,Tax Payments,WITHDRAWAL
2026-02-01,Utility Bill - Electricity,REF1179,4548.51,0.00,-799798.71,Utilities,WITHDRAWAL
2026-02-20,Salary Payments - Staff,REF1180,51421.36,0.00,-851220.07,Salaries,WITHDRAWAL
2025-11-16,Medical Supplies Purchase,REF1181,13074.91,0.00,-864294.98,Medical Supplies,WITHDRAWAL
2025-12-06,Bank Charges,REF1182,791.28,0.00,-865086.26,Bank Charges,WITHDRAWAL
2025-11-21,Equipment Loan Payment,REF1183,15307.84,0.00,-880394.10,Equipment Payments,WITHDRAWAL
2026-03-17,Pharmacy Sales,REF1184,0.00,10297.09,-870097.01,Pharmacy Sales,DEPOSIT
2026-01-30,Bank Charges,REF1185,606.81,0.00,-870703.82,Bank Charges,WITHDRAWAL
2026-01-25,Lab Revenue,REF1186,0.00,13436.34,-857267.48,Lab Revenue,DEPOSIT
2026-03-24,Maintenance - Equipment,REF1187,5966.22,0.00,-863233.70,Maintenance,WITHDRAWAL
2026-01-13,Transfer to Savings,REF1188,20661.09,0.00,-883894.79,Transfers,TRANSFER
2025-11-21,Medical Supplies Purchase,REF1189,19808.05,0.00,-903702.84,Medical Supplies,WITHDRAWAL
2026-03-19,Salary Payments - Staff,REF1190,40959.08,0.00,-944661.92,Salaries,WITHDRAWAL
2025-12-20,Patient Payment - OPD,REF1191,0.00,14355.70,-930306.22,Patient Payments,DEPOSIT
2026-01-08,Salary Payments - Staff,REF1192,47590.82,0.00,-977897.04,Salaries,WITHDRAWAL
2025-11-14,Lab Revenue,REF1193,0.00,15682.61,-962214.43,Lab Revenue,DEPOSIT
2026-01-16,Lab Revenue,REF1194,0.00,11581.97,-950632.46,Lab Revenue,DEPOSIT
2026-02-12,Software Subscription - HMS,REF1195,2998.61,0.00,-953631.07,Software Subscriptions,WITHDRAWAL
2025-11-30,Maintenance - Equipment,REF1196,4268.81,0.00,-957899.88,Maintenance,WITHDRAWAL
2025-12-29,Equipment Loan Payment,REF1197,19979.63,0.00,-977879.51,Equipment Payments,WITHDRAWAL
2025-11-07,Medical Supplies Purchase,REF1198,16214.01,0.00,-994093.52,Medical Supplies,WITHDRAWAL
2025-12-24,Utility Bill - Electricity,REF1199,2783.20,0.00,-996876.72,Utilities,WITHDRAWAL
2025-11-18,Pharmacy Sales,REF1200,0.00,9905.48,-986971.24,Pharmacy Sales,DEPOSIT
2026-01-28,Medical Supplies Purchase,REF1201,19616.79,0.00,-1006588.03,Medical Supplies,WITHDRAWAL
2026-02-27,Maintenance - Equipment,REF1202,3726.57,0.00,-1010314.60,Maintenance,WITHDRAWAL
2025-11-09,Transfer to Savings,REF1203,13265.20,0.00,-1023579.80,Transfers,TRANSFER
2025-12-21,Bank Charges,REF1204,395.23,0.00,-1023975.03,Bank Charges,WITHDRAWAL
2026-02-12,Utility Bill - Electricity,REF1205,3916.98,0.00,-1027892.01,Utilities,WITHDRAWAL
2026-03-25,Utility Bill - Electricity,REF1206,2410.42,0.00,-1030302.43,Utilities,WITHDRAWAL
2026-02-21,Utility Bill - Electricity,REF1207,2777.43,0.00,-1033079.86,Utilities,WITHDRAWAL
2026-03-04,Salary Payments - Staff,REF1208,47342.80,0.00,-1080422.66,Salaries,WITHDRAWAL
2026-02-11,Lab Revenue,REF1209,0.00,17420.27,-1063002.39,Lab Revenue,DEPOSIT
2025-12-25,Transfer to Savings,REF1210,14672.19,0.00,-1077674.58,Transfers,TRANSFER
2026-01-15,Salary Payments - Staff,REF1211,69681.69,0.00,-1147356.27,Salaries,WITHDRAWAL
2026-02-14,Pharmacy Sales,REF1212,0.00,11154.99,-1136201.28,Pharmacy Sales,DEPOSIT
2025-11-27,Salary Payments - Staff,REF1213,66439.16,0.00,-1202640.44,Salaries,WITHDRAWAL
2025-12-15,Equipment Loan Payment,REF1214,24700.67,0.00,-1227341.11,Equipment Payments,WITHDRAWAL
2026-01-24,Lab Revenue,REF1215,0.00,10038.75,-1217302.36,Lab Revenue,DEPOSIT
2025-11-19,Software Subscription - HMS,REF1216,2794.87,0.00,-1220097.23,Software Subscriptions,WITHDRAWAL
2025-12-18,Insurance Reimbursement - NHIF,REF1217,0.00,26746.94,-1193350.29,Insurance Reimbursements,DEPOSIT
2025-12-16,Insurance Reimbursement - NHIF,REF1218,0.00,28239.27,-1165111.02,Insurance Reimbursements,DEPOSIT
2026-02-19,Salary Payments - Staff,REF1219,54791.31,0.00,-1219902.33,Salaries,WITHDRAWAL
2025-11-10,Maintenance - Equipment,REF1220,4522.36,0.00,-1224424.69,Maintenance,WITHDRAWAL
2026-03-22,Salary Payments - Staff,REF1221,46450.51,0.00,-1270875.20,Salaries,WITHDRAWAL
2026-03-17,Patient Payment - OPD,REF1222,0.00,14373.33,-1256501.87,Patient Payments,DEPOSIT
2026-01-20,Salary Payments - Staff,REF1223,59067.81,0.00,-1315569.68,Salaries,WITHDRAWAL
2026-03-21,Salary Payments - Staff,REF1224,58152.99,0.00,-1373722.67,Salaries,WITHDRAWAL
2025-11-01,Pharmacy Sales,REF1225,0.00,7879.90,-1365842.77,Pharmacy Sales,DEPOSIT
2025-12-30,Utility Bill - Electricity,REF1226,4087.81,0.00,-1369930.58,Utilities,WITHDRAWAL
2026-01-21,Patient Payment - OPD,REF1227,0.00,8299.87,-1361630.71,Patient Payments,DEPOSIT
2026-01-06,Utility Bill - Electricity,REF1228,4179.86,0.00,-1365810.57,Utilities,WITHDRAWAL
2026-01-12,Patient Payment - OPD,REF1229,0.00,18978.03,-1346832.54,Patient Payments,DEPOSIT
2026-01-02,Transfer to Savings,REF1230,17438.92,0.00,-1364271.46,Transfers,TRANSFER
2025-11-29,Insurance Reimbursement - NHIF,REF1231,0.00,20227.66,-1344043.80,Insurance Reimbursements,DEPOSIT
2025-11-19,Pharmacy Sales,REF1232,0.00,9645.05,-1334398.75,Pharmacy Sales,DEPOSIT
2026-03-12,Pharmacy Sales,REF1233,0.00,8761.47,-1325637.28,Pharmacy Sales,DEPOSIT
2025-11-09,Maintenance - Equipment,REF1234,7901.57,0.00,-1333538.85,Maintenance,WITHDRAWAL
2025-11-21,Medical Supplies Purchase,REF1235,11895.04,0.00,-1345433.89,Medical Supplies,WITHDRAWAL
2025-11-29,Utility Bill - Electricity,REF1236,4946.53,0.00,-1350380.42,Utilities,WITHDRAWAL
2025-12-30,Utility Bill - Electricity,REF1237,3728.70,0.00,-1354109.12,Utilities,WITHDRAWAL
2025-12-02,Patient Payment - OPD,REF1238,0.00,8238.44,-1345870.68,Patient Payments,DEPOSIT
2026-03-22,Software Subscription - HMS,REF1239,2928.07,0.00,-1348798.75,Software Subscriptions,WITHDRAWAL
2026-02-06,Salary Payments - Staff,REF1240,65265.01,0.00,-1414063.76,Salaries,WITHDRAWAL
2026-03-08,Patient Payment - OPD,REF1241,0.00,10159.62,-1403904.14,Patient Payments,DEPOSIT
2026-02-28,Pharmacy Sales,REF1242,0.00,10941.85,-1392962.29,Pharmacy Sales,DEPOSIT
2026-02-01,Pharmacy Sales,REF1243,0.00,10215.99,-1382746.30,Pharmacy Sales,DEPOSIT
2025-12-15,Transfer to Savings,REF1244,24422.15,0.00,-1407168.45,Transfers,TRANSFER
2026-01-22,Insurance Reimbursement - NHIF,REF1245,0.00,28416.31,-1378752.14,Insurance Reimbursements,DEPOSIT
2026-01-02,Salary Payments - Staff,REF1246,58381.99,0.00,-1437134.13,Salaries,WITHDRAWAL
2026-02-26,Medical Supplies Purchase,REF1247,10555.58,0.00,-1447689.71,Medical Supplies,WITHDRAWAL
2025-11-05,Utility Bill - Electricity,REF1248,2475.68,0.00,-1450165.39,Utilities,WITHDRAWAL
2026-03-25,Insurance Reimbursement - NHIF,REF1249,0.00,25545.85,-1424619.54,Insurance Reimbursements,DEPOSIT
2026-01-04,Tax Payment - KRA,REF1250,17370.85,0.00,-1441990.39,Tax Payments,WITHDRAWAL
2026-02-13,Pharmacy Sales,REF1251,0.00,10770.80,-1431219.59,Pharmacy Sales,DEPOSIT
2025-12-24,Utility Bill - Electricity,REF1252,4790.42,0.00,-1436010.01,Utilities,WITHDRAWAL
2026-02-14,Equipment Loan Payment,REF1253,22536.95,0.00,-1458546.96,Equipment Payments,WITHDRAWAL
2026-01-04,Medical Supplies Purchase,REF1254,14314.91,0.00,-1472861.87,Medical Supplies,WITHDRAWAL
2026-02-11,Patient Payment - OPD,REF1255,0.00,13368.52,-1459493.35,Patient Payments,DEPOSIT
