Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2023-09-07,Radiology Services Payment,WIR2000061,,401.85,511938.51,Patient Revenue,DEPOSIT
2023-09-08,Clinic Visit Payment,REF2000062,,1299.99,513238.50,Patient Revenue,DEPOSIT
2023-09-10,Claim Reimbursement - Aetna Plus,EFT2000063,,5931.48,519169.98,Insurance Revenue,DEPOSIT
2023-09-12,Revenue Cycle Payroll,EFT2000064,13437.98,,505732.00,Salary Expense,WITHDRAWAL
2023-09-13,Patient Co-pay - Office Visit,INV2000065,,376.35,506108.35,Patient Revenue,DEPOSIT
2023-09-15,Lab Services - Blood Panel,DEP2000066,,2439.79,508548.14,Lab Revenue,DEPOSIT
2023-09-17,Infusion Therapy Charges,CHK2000067,,557.13,509105.27,Pharmacy Revenue,DEPOSIT
2023-09-18,Rehabilitation Services,DEP2000068,,705.93,509811.20,Patient Revenue,DEPOSIT
2023-09-19,Elevator Maintenance,TXN2000069,821.07,,508990.13,Maintenance,WITHDRAWAL
2023-09-21,Vision Plan Reimbursement,TXN2000070,,18810.95,527801.08,Insurance Revenue,DEPOSIT
2023-09-24,Pharmacy Copay,TXN2000071,,291.67,528092.75,Patient Revenue,DEPOSIT
2023-09-25,Claim Reimbursement - Aetna Plus,TXN2000072,,4407.91,532500.66,Insurance Revenue,DEPOSIT
2023-09-27,Infusion Therapy Charges,DEP2000073,,6049.74,538550.40,Pharmacy Revenue,DEPOSIT
2023-09-28,In-House Pharmacy - Script Fills,TXN2000074,,2782.79,541333.19,Pharmacy Revenue,DEPOSIT
2023-09-30,Vision Plan Reimbursement,EFT2000075,,8307.14,549640.33,Insurance Revenue,DEPOSIT
2023-10-01,Medicaid State Reimbursement,INV2000076,,1964.82,551605.15,Insurance Revenue,DEPOSIT
2023-10-02,Patient Co-pay - Office Visit,EFT2000077,,1347.07,552952.22,Patient Revenue,DEPOSIT
2023-10-03,Surgical Procedure Payment,EFT2000078,,2416.51,555368.73,Patient Revenue,DEPOSIT
2023-10-04,Telephone System Bill,WIR2000079,1209.61,,554159.12,Utilities,WITHDRAWAL
2023-10-05,Claim Reimbursement - Cigna Select,REF2000080,,11037.07,565196.19,Insurance Revenue,DEPOSIT
2023-10-06,Security Team Payroll,CHK2000081,15737.26,,549458.93,Salary Expense,WITHDRAWAL
2023-10-08,Claim Reimbursement - Cigna Select,CHK2000082,,14229.66,563688.59,Insurance Revenue,DEPOSIT
2023-10-10,Claim Reimbursement - Aetna Plus,WIR2000083,,4540.05,568228.64,Insurance Revenue,DEPOSIT
2023-10-13,Corporate Income Tax,WIR2000084,8188.39,,560040.25,Tax Payment,WITHDRAWAL
2023-10-15,Molecular Testing Services,ACH2000085,,1801.80,561842.05,Lab Revenue,DEPOSIT
2023-10-18,Immunization Fee,TXN2000086,,2602.39,564444.44,Patient Revenue,DEPOSIT
2023-10-19,IT Department Payroll,INV2000087,9358.77,,555085.67,Salary Expense,WITHDRAWAL
2023-10-20,Claim Reimbursement - BCBS,DEP2000088,,3849.49,558935.16,Insurance Revenue,DEPOSIT
2023-10-22,Estimated Tax Installment,ACH2000089,7773.89,,551161.27,Tax Payment,WITHDRAWAL
2023-10-27,Administrative Staff Payroll,INV2000090,14879.06,,536282.21,Salary Expense,WITHDRAWAL
2023-10-28,Lipid Panel Analysis,DEP2000091,,3641.36,539923.57,Lab Revenue,DEPOSIT
2023-10-29,Plumbing Repairs,TXN2000092,2499.67,,537423.90,Maintenance,WITHDRAWAL
2023-10-30,Claim Reimbursement - Anthem PPO,INV2000093,,14113.70,551537.60,Insurance Revenue,DEPOSIT
2023-10-31,Rehabilitation Services,INV2000094,,2106.32,553643.92,Patient Revenue,DEPOSIT
2023-11-01,Pharmacy Copay,INV2000095,,1262.46,554906.38,Patient Revenue,DEPOSIT
2023-11-02,Controlled Substance Dispensing,CHK2000096,,4067.00,558973.38,Pharmacy Revenue,DEPOSIT
2023-11-06,Claim Reimbursement - Cigna Select,REF2000097,,12070.57,571043.95,Insurance Revenue,DEPOSIT
2023-11-07,Automated External Defibrillator,CHK2000098,32601.63,,538442.32,Equipment,WITHDRAWAL
2023-11-08,Security Team Payroll,INV2000099,4360.48,,534081.84,Salary Expense,WITHDRAWAL
2023-11-09,Telehealth Platform License,INV2000100,1943.42,,532138.42,Software Expense,WITHDRAWAL
2023-11-10,Claim Reimbursement - BCBS,REF2000101,,2685.87,534824.29,Insurance Revenue,DEPOSIT
2023-11-11,Claim Reimbursement - Cigna Select,WIR2000102,,2358.72,537183.01,Insurance Revenue,DEPOSIT
2023-11-12,Custom Compounding Sales,REF2000103,,750.10,537933.11,Pharmacy Revenue,DEPOSIT
2023-11-17,Administrative Staff Payroll,DEP2000104,13162.50,,524770.61,Salary Expense,WITHDRAWAL
2023-11-19,Surgical Procedure Payment,INV2000105,,2023.91,526794.52,Patient Revenue,DEPOSIT
2023-11-22,Custom Compounding Sales,DEP2000106,,3845.07,530639.59,Pharmacy Revenue,DEPOSIT
2023-11-24,Specialist Consultation,DEP2000107,,1475.28,532114.87,Patient Revenue,DEPOSIT
2023-11-25,Specialty Pharma Distribution,INV2000108,,1164.25,533279.12,Pharmacy Revenue,DEPOSIT
2023-11-28,Surgical Procedure Payment,WIR2000109,,915.61,534194.73,Patient Revenue,DEPOSIT
2023-11-29,Bacterial Culture Testing,CHK2000110,,3958.48,538153.21,Lab Revenue,DEPOSIT
2023-11-30,Lab Work Payment,WIR2000111,,526.79,538680.00,Patient Revenue,DEPOSIT
2023-12-01,Digital Radiography System,INV2000112,4211.15,,534468.85,Equipment,WITHDRAWAL
2023-12-02,Electric Utility Bill,DEP2000113,2146.89,,532321.96,Utilities,WITHDRAWAL
2023-12-04,Vision Plan Reimbursement,CHK2000114,,13025.87,545347.83,Insurance Revenue,DEPOSIT
2023-12-06,Prior Year Tax Settlement,TXN2000115,7613.43,,537734.40,Tax Payment,WITHDRAWAL
2023-12-08,Sales Tax Remittance,ACH2000116,5269.49,,532464.91,Tax Payment,WITHDRAWAL
2023-12-11,Claim Reimbursement - Cigna Select,CHK2000117,,19333.26,551798.17,Insurance Revenue,DEPOSIT
2023-12-12,Patient Co-pay - Office Visit,TXN2000118,,1989.01,553787.18,Patient Revenue,DEPOSIT
2023-12-13,Antibiotic Prep Charges,WIR2000119,,2070.83,555858.01,Pharmacy Revenue,DEPOSIT
2023-12-15,Radiology Services Payment,TXN2000120,,1408.12,557266.13,Patient Revenue,DEPOSIT
2023-12-17,Antibiotic Prep Charges,WIR2000121,,2119.30,559385.43,Pharmacy Revenue,DEPOSIT
2023-12-18,Sterile Needle and Syringe Stock,EFT2000122,1601.10,,557784.33,Medical Supplies,WITHDRAWAL
2023-12-20,Clinic Visit Payment,WIR2000123,,2441.72,560226.05,Patient Revenue,DEPOSIT
2023-12-21,Claim Reimbursement - United,WIR2000124,,14159.00,574385.05,Insurance Revenue,DEPOSIT
2023-12-25,Medicaid State Reimbursement,CHK2000125,,17134.46,591519.51,Insurance Revenue,DEPOSIT
2023-12-28,Medicare Reimbursement - Part B,TXN2000126,,5897.41,597416.92,Insurance Revenue,DEPOSIT
2023-12-29,Patient Co-pay - Office Visit,EFT2000127,,1940.67,599357.59,Patient Revenue,DEPOSIT
2023-12-30,Claim Reimbursement - Anthem PPO,INV2000128,,9363.11,608720.70,Insurance Revenue,DEPOSIT
2023-12-31,Surgical Procedure Payment,EFT2000129,,558.83,609279.53,Patient Revenue,DEPOSIT
2024-01-01,Clinic Visit Payment,CHK2000130,,2273.54,611553.07,Patient Revenue,DEPOSIT
2024-01-02,Medical Equipment Calibration,INV2000131,1738.85,,609814.22,Maintenance,WITHDRAWAL
2024-01-03,Mental Health Coverage Reimbursement,DEP2000132,,7800.04,617614.26,Insurance Revenue,DEPOSIT
2024-01-05,Housekeeping Payroll,REF2000133,13621.86,,603992.40,Salary Expense,WITHDRAWAL
2024-01-06,Broadband Internet Service,CHK2000134,3456.14,,600536.26,Utilities,WITHDRAWAL
2024-01-08,Suture and Staple Supplies,EFT2000135,2412.04,,598124.22,Medical Supplies,WITHDRAWAL
2024-01-09,Specialty Pharma Distribution,REF2000136,,2184.04,600308.26,Pharmacy Revenue,DEPOSIT
2024-01-12,Infusion Line Supplies,REF2000137,3398.32,,596909.94,Medical Supplies,WITHDRAWAL
2024-01-13,Claim Reimbursement - BCBS,ACH2000138,,5745.78,602655.72,Insurance Revenue,DEPOSIT
2024-01-14,Clinic Visit Payment,INV2000139,,567.35,603223.07,Patient Revenue,DEPOSIT
2024-01-15,Vision Plan Reimbursement,ACH2000140,,3161.96,606385.03,Insurance Revenue,DEPOSIT
2024-01-16,Business License Fee,REF2000141,9111.81,,597273.22,Tax Payment,WITHDRAWAL
2024-01-17,Mental Health Coverage Reimbursement,EFT2000142,,8823.08,606096.30,Insurance Revenue,DEPOSIT
2024-01-19,FICA Payroll Tax,WIR2000143,2975.79,,603120.51,Tax Payment,WITHDRAWAL
2024-01-21,Hospital Grade Beds,EFT2000144,8518.16,,594602.35,Medical Supplies,WITHDRAWAL
2024-01-22,Immunization Fee,WIR2000145,,851.36,595453.71,Patient Revenue,DEPOSIT
2024-01-23,Security Team Payroll,REF2000146,12668.02,,582785.69,Salary Expense,WITHDRAWAL
2024-01-24,Claim Reimbursement - Aetna Plus,DEP2000147,,9687.85,592473.54,Insurance Revenue,DEPOSIT
2024-01-26,Claim Reimbursement - United,REF2000148,,10713.71,603187.25,Insurance Revenue,DEPOSIT
2024-01-27,Clinic Space Sublease,EFT2000149,9650.48,,593536.77,Rent Expense,WITHDRAWAL
2024-01-28,Surgical Procedure Payment,TXN2000150,,685.79,594222.56,Patient Revenue,DEPOSIT
2024-01-30,Lab Work Payment,WIR2000151,,1625.14,595847.70,Patient Revenue,DEPOSIT
2024-01-31,Security Team Payroll,CHK2000152,8074.85,,587772.85,Salary Expense,WITHDRAWAL
2024-02-03,Claim Reimbursement - Humana Choice,CHK2000153,,16261.71,604034.56,Insurance Revenue,DEPOSIT
2024-02-04,Specimen Processing Fees,CHK2000154,,932.77,604967.33,Lab Revenue,DEPOSIT
2024-02-05,Lab Work Payment,ACH2000155,,2648.08,607615.41,Patient Revenue,DEPOSIT
2024-02-06,Claim Reimbursement - Anthem PPO,DEP2000156,,6273.53,613888.94,Insurance Revenue,DEPOSIT
2024-02-08,Claim Reimbursement - Aetna Plus,TXN2000157,,5509.83,619398.77,Insurance Revenue,DEPOSIT
2024-02-10,Claim Reimbursement - Cigna Select,TXN2000158,,19173.17,638571.94,Insurance Revenue,DEPOSIT
2024-02-13,Security Team Payroll,REF2000159,15960.88,,622611.06,Salary Expense,WITHDRAWAL
2024-02-16,Mental Health Coverage Reimbursement,REF2000160,,15338.93,637949.99,Insurance Revenue,DEPOSIT
2024-02-17,Suture and Staple Supplies,EFT2000161,3894.77,,634055.22,Medical Supplies,WITHDRAWAL
2024-02-18,Wound Care Dressing Supply,CHK2000162,1875.79,,632179.43,Medical Supplies,WITHDRAWAL
2024-02-19,Cloud Data Backup Service,CHK2000163,1997.30,,630182.13,Software Expense,WITHDRAWAL
2024-02-20,Specialty Pharma Distribution,CHK2000164,,4123.15,634305.28,Pharmacy Revenue,DEPOSIT
2024-02-21,IT Department Payroll,WIR2000165,7943.69,,626361.59,Salary Expense,WITHDRAWAL
2024-02-24,Revenue Cycle Payroll,WIR2000166,16751.89,,609609.70,Salary Expense,WITHDRAWAL
2024-02-29,Vision Plan Reimbursement,INV2000167,,11999.57,621609.27,Insurance Revenue,DEPOSIT
2024-03-01,Infusion Therapy Charges,INV2000168,,3478.86,625088.13,Pharmacy Revenue,DEPOSIT
2024-03-02,Immunization Fee,EFT2000169,,2227.62,627315.75,Patient Revenue,DEPOSIT
2024-03-03,Infusion Therapy Charges,CHK2000170,,4239.82,631555.57,Pharmacy Revenue,DEPOSIT
2024-03-04,Claim Reimbursement - BCBS,CHK2000171,,4783.18,636338.75,Insurance Revenue,DEPOSIT
2024-03-07,Specialist Consultation,CHK2000172,,402.73,636741.48,Patient Revenue,DEPOSIT
2024-03-09,Custom Compounding Sales,DEP2000173,,5983.25,642724.73,Pharmacy Revenue,DEPOSIT
2024-03-11,Claim Reimbursement - Cigna Select,TXN2000174,,18484.47,661209.20,Insurance Revenue,DEPOSIT
2024-03-12,Roof Repair Work,CHK2000175,3874.66,,657334.54,Maintenance,WITHDRAWAL
2024-03-13,Personal Protective Equipment,WIR2000176,2571.21,,654763.33,Medical Supplies,WITHDRAWAL
2024-03-14,Medicaid State Reimbursement,DEP2000177,,4672.63,659435.96,Insurance Revenue,DEPOSIT
2024-03-15,Antibiotic Prep Charges,TXN2000178,,6264.42,665700.38,Pharmacy Revenue,DEPOSIT
2024-03-16,Revenue Cycle Payroll,DEP2000179,13079.67,,652620.71,Salary Expense,WITHDRAWAL
2024-03-19,Natural Gas Heating,DEP2000180,3067.13,,649553.58,Utilities,WITHDRAWAL
2024-03-22,Rehabilitation Services,REF2000181,,695.73,650249.31,Patient Revenue,DEPOSIT
2024-03-23,Immunization Fee,WIR2000182,,1926.58,652175.89,Patient Revenue,DEPOSIT
2024-03-25,State Income Tax Withholding,REF2000183,2239.75,,649936.14,Tax Payment,WITHDRAWAL
2024-03-26,Building Lease Payment,INV2000184,7605.68,,642330.46,Rent Expense,WITHDRAWAL
2024-03-27,Water and Sewer Services,CHK2000185,1157.33,,641173.13,Utilities,WITHDRAWAL
2024-03-30,Claim Reimbursement - Cigna Select,CHK2000186,,4402.29,645575.42,Insurance Revenue,DEPOSIT
2024-04-01,In-House Pharmacy - Script Fills,CHK2000187,,380.18,645955.60,Pharmacy Revenue,DEPOSIT
2024-04-04,Rapid Antigen Testing,INV2000188,,2255.37,648210.97,Lab Revenue,DEPOSIT
2024-04-05,Elevator Maintenance,CHK2000189,3070.78,,645140.19,Maintenance,WITHDRAWAL
2024-04-08,Immunization Fee,TXN2000190,,349.04,645489.23,Patient Revenue,DEPOSIT
2024-04-13,Diagnostic Test Kit Purchase,TXN2000191,8095.64,,637393.59,Medical Supplies,WITHDRAWAL
2024-04-15,Clinic Visit Payment,CHK2000192,,1763.62,639157.21,Patient Revenue,DEPOSIT
2024-04-18,Lab Technician Payroll,CHK2000193,7487.15,,631670.06,Salary Expense,WITHDRAWAL
2024-04-19,Emergency Department Bill,ACH2000194,,2615.58,634285.64,Patient Revenue,DEPOSIT
2024-04-20,Cybersecurity Training,CHK2000195,1058.00,,633227.64,Software Expense,WITHDRAWAL
2024-04-21,Claim Reimbursement - BCBS,EFT2000196,,13866.30,647093.94,Insurance Revenue,DEPOSIT
2024-04-22,Claim Reimbursement - United,ACH2000197,,5351.92,652445.86,Insurance Revenue,DEPOSIT
2024-04-23,Emergency Department Bill,ACH2000198,,2114.42,654560.28,Patient Revenue,DEPOSIT
2024-04-24,Lab Work Payment,DEP2000199,,1963.27,656523.55,Patient Revenue,DEPOSIT
2024-04-30,Medicaid State Reimbursement,WIR2000200,,17132.21,673655.76,Insurance Revenue,DEPOSIT
2024-05-02,Parking Lot Lease,WIR2000201,8222.82,,665432.94,Rent Expense,WITHDRAWAL
2024-05-03,Emergency Department Bill,REF2000202,,2352.54,667785.48,Patient Revenue,DEPOSIT
2024-05-04,Emergency Department Bill,DEP2000203,,2703.18,670488.66,Patient Revenue,DEPOSIT
2024-05-05,Lab Work Payment,REF2000204,,2521.23,673009.89,Patient Revenue,DEPOSIT
2024-05-08,Administrative Staff Payroll,INV2000205,17467.77,,655542.12,Salary Expense,WITHDRAWAL
2024-05-09,Specialist Consultation,ACH2000206,,512.46,656054.58,Patient Revenue,DEPOSIT
2024-05-10,Claim Reimbursement - United,WIR2000207,,18694.83,674749.41,Insurance Revenue,DEPOSIT
2024-05-11,Emergency Department Bill,TXN2000208,,841.59,675591.00,Patient Revenue,DEPOSIT
2024-05-12,Claim Reimbursement - Humana Choice,WIR2000209,,13565.23,689156.23,Insurance Revenue,DEPOSIT
2024-05-13,Claim Reimbursement - United,INV2000210,,3181.76,692337.99,Insurance Revenue,DEPOSIT
2024-05-18,Prior Year Tax Settlement,ACH2000211,13871.21,,678466.78,Tax Payment,WITHDRAWAL
2024-05-19,Contractor Medical Personnel,WIR2000212,16630.58,,661836.20,Salary Expense,WITHDRAWAL
2024-05-20,Clinic Space Sublease,INV2000213,9763.75,,652072.45,Rent Expense,WITHDRAWAL
2024-05-21,Surgical Procedure Payment,WIR2000214,,2355.86,654428.31,Patient Revenue,DEPOSIT
2024-05-22,Claim Reimbursement - United,CHK2000215,,2551.05,656979.36,Insurance Revenue,DEPOSIT
2024-05-23,Vaccine Administration Fees,DEP2000216,,1639.93,658619.29,Pharmacy Revenue,DEPOSIT
2024-05-24,Medicaid State Reimbursement,ACH2000217,,11076.05,669695.34,Insurance Revenue,DEPOSIT
2024-05-25,Patient Monitoring Equipment,REF2000218,5741.37,,663953.97,Medical Supplies,WITHDRAWAL
2024-05-28,Fire System Testing,INV2000219,787.12,,663166.85,Maintenance,WITHDRAWAL
2024-05-29,Clinic Visit Payment,INV2000220,,2661.01,665827.86,Patient Revenue,DEPOSIT
2024-05-31,Infusion Line Supplies,TXN2000221,6948.90,,658878.96,Medical Supplies,WITHDRAWAL
2024-06-01,Claim Reimbursement - Aetna Plus,TXN2000222,,16185.14,675064.10,Insurance Revenue,DEPOSIT
2024-06-02,Specialist Consultation,ACH2000223,,2889.31,677953.41,Patient Revenue,DEPOSIT
2024-06-04,Claim Reimbursement - Aetna Plus,DEP2000224,,6830.60,684784.01,Insurance Revenue,DEPOSIT
2024-06-05,Claim Reimbursement - United,REF2000225,,5504.26,690288.27,Insurance Revenue,DEPOSIT
2024-06-06,Allergy Panel Testing,REF2000226,,1546.72,691834.99,Lab Revenue,DEPOSIT
2024-06-07,Claim Reimbursement - Cigna Select,CHK2000227,,6408.62,698243.61,Insurance Revenue,DEPOSIT
2024-06-09,OTC Medication Sales,INV2000228,,1483.07,699726.68,Pharmacy Revenue,DEPOSIT
2024-06-12,Molecular Testing Services,INV2000229,,612.58,700339.26,Lab Revenue,DEPOSIT
2024-06-14,Claim Reimbursement - United,CHK2000230,,8521.46,708860.72,Insurance Revenue,DEPOSIT
2024-06-15,Infusion Therapy Charges,REF2000231,,4926.81,713787.53,Pharmacy Revenue,DEPOSIT
2024-06-16,Vision Plan Reimbursement,CHK2000232,,12631.75,726419.28,Insurance Revenue,DEPOSIT
2024-06-17,Vaccine Administration Fees,ACH2000233,,1236.09,727655.37,Pharmacy Revenue,DEPOSIT
2024-06-18,Medicare Reimbursement - Part B,REF2000234,,15567.27,743222.64,Insurance Revenue,DEPOSIT
2024-06-19,Janitorial Services,WIR2000235,3922.43,,739300.21,Maintenance,WITHDRAWAL
2024-06-21,Claim Reimbursement - BCBS,EFT2000236,,17212.19,756512.40,Insurance Revenue,DEPOSIT
2024-06-23,Claim Reimbursement - Aetna Plus,DEP2000237,,17598.97,774111.37,Insurance Revenue,DEPOSIT
2024-06-25,Surgical Light Arrays,WIR2000238,3184.37,,770927.00,Equipment,WITHDRAWAL
2024-06-26,Patient Co-pay - Office Visit,INV2000239,,2443.47,773370.47,Patient Revenue,DEPOSIT
2024-06-27,Radiology Services Payment,REF2000240,,554.77,773925.24,Patient Revenue,DEPOSIT
2024-06-30,Emergency Department Bill,WIR2000241,,745.56,774670.80,Patient Revenue,DEPOSIT
2024-07-02,Patient Monitoring Equipment,INV2000242,5008.58,,769662.22,Medical Supplies,WITHDRAWAL
2024-07-03,Medical Gas Supply,TXN2000243,3156.41,,766505.81,Utilities,WITHDRAWAL
2024-07-04,Specialist Consultation,DEP2000244,,791.84,767297.65,Patient Revenue,DEPOSIT
2024-07-05,IT Department Payroll,REF2000245,14408.24,,752889.41,Salary Expense,WITHDRAWAL
2024-07-06,Lab Technician Payroll,ACH2000246,6426.61,,746462.80,Salary Expense,WITHDRAWAL
2024-07-07,FICA Payroll Tax,DEP2000247,8494.00,,737968.80,Tax Payment,WITHDRAWAL
2024-07-08,Rehabilitation Services,WIR2000248,,1839.51,739808.31,Patient Revenue,DEPOSIT
2024-07-10,Pest Management Service,TXN2000249,3413.52,,736394.79,Maintenance,WITHDRAWAL
2024-07-14,Security and Antivirus,WIR2000250,2447.02,,733947.77,Software Expense,WITHDRAWAL
2024-07-15,Waste Management Service,CHK2000251,3176.32,,730771.45,Utilities,WITHDRAWAL
2024-07-16,Claim Reimbursement - BCBS,WIR2000252,,4661.49,735432.94,Insurance Revenue,DEPOSIT
2024-07-17,Respiratory Equipment,WIR2000253,626.92,,734806.02,Medical Supplies,WITHDRAWAL
2024-07-18,Injectable Medication Sales,DEP2000254,,1461.87,736267.89,Pharmacy Revenue,DEPOSIT
2024-07-19,Specialist Consultation,DEP2000255,,1666.19,737934.08,Patient Revenue,DEPOSIT
2024-07-20,Claim Reimbursement - United,CHK2000256,,13335.19,751269.27,Insurance Revenue,DEPOSIT
2024-07-21,Surgical Procedure Payment,CHK2000257,,1587.77,752857.04,Patient Revenue,DEPOSIT
2024-07-22,Pharmacy Copay,INV2000258,,1251.86,754108.90,Patient Revenue,DEPOSIT
2024-07-24,Registered Nurse Payroll,ACH2000259,4071.56,,750037.34,Salary Expense,WITHDRAWAL
2024-07-25,OTC Medication Sales,DEP2000260,,240.31,750277.65,Pharmacy Revenue,DEPOSIT
