Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2022-05-08,Diagnostic Services,WIR3000030,,2874.87,798439.16,Patient Revenue,DEPOSIT
2022-05-13,Campus Security,BAL3000031,11506.26,,786932.90,Salary Expense,WITHDRAWAL
2022-05-15,Reimbursement - Aetna Health,TXN3000032,,22006.27,808939.17,Insurance Revenue,DEPOSIT
2022-05-21,Diagnostic Services,INV3000033,,562.63,809501.80,Patient Revenue,DEPOSIT
2022-05-22,Diagnostic Services,CHK3000034,,2251.06,811752.86,Patient Revenue,DEPOSIT
2022-05-23,Visiting Specialist Fees,REF3000035,15660.21,,796092.65,Salary Expense,WITHDRAWAL
2022-05-24,Urgent Care Visit,BAL3000036,,652.42,796745.07,Patient Revenue,DEPOSIT
2022-05-25,Patient Balance Settlement,BAL3000037,,2867.83,799612.90,Patient Revenue,DEPOSIT
2022-05-26,Medical Image Archive,ACH3000038,2272.55,,797340.35,Software Expense,WITHDRAWAL
2022-05-27,Medication Compounding,BAL3000039,,2737.88,800078.23,Pharmacy Revenue,DEPOSIT
2022-05-29,Compressed Air Systems,EFT3000040,2329.48,,797748.75,Utilities,WITHDRAWAL
2022-05-31,Campus Security,TXN3000041,11279.59,,786469.16,Salary Expense,WITHDRAWAL
2022-06-01,Physical Therapy Session,CHK3000042,,434.54,786903.70,Patient Revenue,DEPOSIT
2022-06-03,Diagnostic Services,TXN3000043,,697.71,787601.41,Patient Revenue,DEPOSIT
2022-06-05,Antivirus and Malware,EFT3000044,2248.88,,785352.53,Software Expense,WITHDRAWAL
2022-06-06,Drug Administration Fee,TXN3000045,,1550.73,786903.26,Patient Revenue,DEPOSIT
2022-06-08,Culture and Sensitivity,REF3000046,,2664.25,789567.51,Lab Revenue,DEPOSIT
2022-06-09,Vascular Access Equipment,BAL3000047,8376.58,,781190.93,Medical Supplies,WITHDRAWAL
2022-06-11,Immunization Services,EFT3000048,,944.70,782135.63,Pharmacy Revenue,DEPOSIT
2022-06-15,Emergency Room Charges,TXN3000049,,997.60,783133.23,Patient Revenue,DEPOSIT
2022-06-23,Reimbursement - Cigna PPO,EFT3000050,,6714.45,789847.68,Insurance Revenue,DEPOSIT
2022-06-24,Medicare Part B Claim,INV3000051,,11922.02,801769.70,Insurance Revenue,DEPOSIT
2022-06-30,Backup Generator Maintenance,TXN3000052,2489.99,,799279.71,Utilities,WITHDRAWAL
2022-07-03,Pharmaceutical Wholesale Markup,EFT3000053,,3400.83,802680.54,Pharmacy Revenue,DEPOSIT
2022-07-04,Real Estate Tax,TXN3000054,9709.83,,792970.71,Tax Payment,WITHDRAWAL
2022-07-05,Telehealth Infrastructure,ACH3000055,10033.80,,782936.91,Rent Expense,WITHDRAWAL
2022-07-06,Injectable Medication Sales,DEP3000056,,2109.40,785046.31,Pharmacy Revenue,DEPOSIT
2022-07-07,Point of Care Testing,REF3000057,,637.07,785683.38,Lab Revenue,DEPOSIT
2022-07-08,IV Therapy Administration,ACH3000058,,3237.97,788921.35,Pharmacy Revenue,DEPOSIT
2022-07-09,Over-the-Counter Sales,CHK3000059,,1372.50,790293.85,Pharmacy Revenue,DEPOSIT
2022-07-11,Consultation Fee,INV3000060,,953.28,791247.13,Patient Revenue,DEPOSIT
2022-07-13,Immunization Services,REF3000061,,2567.49,793814.62,Pharmacy Revenue,DEPOSIT
2022-07-14,Patient Balance Settlement,ACH3000062,,3232.76,797047.38,Patient Revenue,DEPOSIT
2022-07-18,Prescription Filling Revenue,TXN3000063,,1785.93,798833.31,Pharmacy Revenue,DEPOSIT
2022-07-19,Emergency Room Charges,BAL3000064,,72.35,798905.66,Patient Revenue,DEPOSIT
2022-07-23,Telehealth Infrastructure,WIR3000065,11716.34,,787189.32,Rent Expense,WITHDRAWAL
2022-07-24,Allergy Testing Panel,EFT3000066,,2713.56,789902.88,Lab Revenue,DEPOSIT
2022-07-25,Medicare Part B Claim,EFT3000067,,17687.49,807590.37,Insurance Revenue,DEPOSIT
2022-07-27,Reimbursement - Anthem Select,INV3000068,,20312.93,827903.30,Insurance Revenue,DEPOSIT
2022-07-29,Dental Plan Reimbursement,WIR3000069,,1101.49,829004.79,Insurance Revenue,DEPOSIT
2022-07-30,Compliance Safety Audit,EFT3000070,4024.98,,824979.81,Maintenance,WITHDRAWAL
2022-07-31,Administrative Personnel,WIR3000071,17242.67,,807737.14,Salary Expense,WITHDRAWAL
2022-08-04,Immunization Services,DEP3000072,,2956.46,810693.60,Pharmacy Revenue,DEPOSIT
2022-08-05,Campus Security,BAL3000073,17646.86,,793046.74,Salary Expense,WITHDRAWAL
2022-08-06,Consultation Fee,BAL3000074,,3023.47,796070.21,Patient Revenue,DEPOSIT
2022-08-08,Security Incident Response,REF3000075,2458.80,,793611.41,Software Expense,WITHDRAWAL
2022-08-15,Diagnostic Services,CHK3000076,,1548.91,795160.32,Patient Revenue,DEPOSIT
2022-08-16,State Medicaid Program,ACH3000077,,1902.79,797063.11,Insurance Revenue,DEPOSIT
2022-08-17,Emergency Room Charges,EFT3000078,,910.08,797973.19,Patient Revenue,DEPOSIT
2022-08-18,Hypodermic Needles and Syringes,WIR3000079,6303.75,,791669.44,Medical Supplies,WITHDRAWAL
2022-08-20,Telehealth Infrastructure,TXN3000080,11382.08,,780287.36,Rent Expense,WITHDRAWAL
2022-08-22,State Medicaid Program,INV3000081,,17945.88,798233.24,Insurance Revenue,DEPOSIT
2022-08-24,Reimbursement - Blue Cross Blue Shield,INV3000082,,7740.05,805973.29,Insurance Revenue,DEPOSIT
2022-08-25,Behavioral Health Reimbursement,REF3000083,,20776.00,826749.29,Insurance Revenue,DEPOSIT
2022-08-26,Operating Room Bill,BAL3000084,,311.93,827061.22,Patient Revenue,DEPOSIT
2022-08-27,Professional Cleaning Service,DEP3000085,3680.59,,823380.63,Maintenance,WITHDRAWAL
2022-08-29,Patient Communication,CHK3000086,2973.78,,820406.85,Software Expense,WITHDRAWAL
2022-08-30,Controlled Substance Dispensing,EFT3000087,,2099.04,822505.89,Pharmacy Revenue,DEPOSIT
2022-08-31,Physical Therapy Session,TXN3000088,,1297.27,823803.16,Patient Revenue,DEPOSIT
2022-09-04,Billing and Coding Staff,REF3000089,13620.10,,810183.06,Salary Expense,WITHDRAWAL
2022-09-09,Imaging Center Payment,WIR3000090,,172.89,810355.95,Patient Revenue,DEPOSIT
2022-09-11,Reimbursement - Blue Cross Blue Shield,DEP3000091,,13062.18,823418.13,Insurance Revenue,DEPOSIT
2022-09-12,Reimbursement - United Healthcare,REF3000092,,15632.47,839050.60,Insurance Revenue,DEPOSIT
2022-09-13,IV Therapy Administration,BAL3000093,,1747.39,840797.99,Pharmacy Revenue,DEPOSIT
2022-09-15,Sales and Use Tax,CHK3000094,5255.51,,835542.48,Tax Payment,WITHDRAWAL
2022-09-16,Medicare Part B Claim,ACH3000095,,10039.64,845582.12,Insurance Revenue,DEPOSIT
2022-09-19,State Medicaid Program,TXN3000096,,4823.66,850405.78,Insurance Revenue,DEPOSIT
2022-09-20,Advanced Genomic Testing,WIR3000097,,190.85,850596.63,Lab Revenue,DEPOSIT
2022-09-21,Diagnostic Services,REF3000098,,1111.28,851707.91,Patient Revenue,DEPOSIT
2022-09-22,Visiting Specialist Fees,EFT3000099,15076.78,,836631.13,Salary Expense,WITHDRAWAL
2022-09-24,Cloud Services Lease,EFT3000100,11170.09,,825461.04,Rent Expense,WITHDRAWAL
2022-09-27,Reimbursement - Humana Plus,EFT3000101,,20374.29,845835.33,Insurance Revenue,DEPOSIT
2022-09-30,Controlled Substance Dispensing,REF3000102,,1430.02,847265.35,Pharmacy Revenue,DEPOSIT
2022-10-01,Visiting Specialist Fees,REF3000103,5177.62,,842087.73,Salary Expense,WITHDRAWAL
2022-10-02,Advanced Genomic Testing,EFT3000104,,2604.19,844691.92,Lab Revenue,DEPOSIT
2022-10-04,Reimbursement - Blue Cross Blue Shield,TXN3000105,,10276.95,854968.87,Insurance Revenue,DEPOSIT
2022-10-11,Comprehensive Metabolic Panel,INV3000106,,2992.79,857961.66,Lab Revenue,DEPOSIT
2022-10-13,Toxicology Screen,REF3000107,,3972.14,861933.80,Lab Revenue,DEPOSIT
2022-10-16,Plumbing System Service,EFT3000108,579.91,,861353.89,Maintenance,WITHDRAWAL
2022-10-17,Consultation Fee,BAL3000109,,884.46,862238.35,Patient Revenue,DEPOSIT
2022-10-19,Reimbursement - Aetna Health,INV3000110,,8819.27,871057.62,Insurance Revenue,DEPOSIT
2022-10-21,Drug Administration Fee,DEP3000111,,2200.61,873258.23,Patient Revenue,DEPOSIT
2022-10-22,Imaging Center Payment,REF3000112,,1980.25,875238.48,Patient Revenue,DEPOSIT
2022-10-23,Behavioral Health Reimbursement,WIR3000113,,1928.86,877167.34,Insurance Revenue,DEPOSIT
2022-10-25,Imaging Center Payment,WIR3000114,,2628.84,879796.18,Patient Revenue,DEPOSIT
2022-10-26,Point of Care Testing,DEP3000115,,2359.36,882155.54,Lab Revenue,DEPOSIT
2022-10-27,Tissue Sample Analysis,CHK3000116,,4225.47,886381.01,Lab Revenue,DEPOSIT
2022-10-29,Advanced Ultrasound Machine,EFT3000117,33226.38,,853154.63,Equipment,WITHDRAWAL
2022-10-31,Patient Beds and Mattresses,BAL3000118,5315.49,,847839.14,Medical Supplies,WITHDRAWAL
2022-11-02,Environmental Services,EFT3000119,14030.65,,833808.49,Salary Expense,WITHDRAWAL
2022-11-04,Prescription Filling Revenue,EFT3000120,,2820.01,836628.50,Pharmacy Revenue,DEPOSIT
2022-11-05,Reimbursement - Aetna Health,BAL3000121,,24822.32,861450.82,Insurance Revenue,DEPOSIT
2022-11-08,Reimbursement - Cigna PPO,CHK3000122,,10007.94,871458.76,Insurance Revenue,DEPOSIT
2022-11-10,Medical Oxygen Supply,CHK3000123,1977.67,,869481.09,Utilities,WITHDRAWAL
2022-11-11,MRI Scanner Module,WIR3000124,28521.84,,840959.25,Equipment,WITHDRAWAL
2022-11-12,Emergency Power,WIR3000125,1094.35,,839864.90,Utilities,WITHDRAWAL
2022-11-13,Medical Device Lease,REF3000126,8128.56,,831736.34,Rent Expense,WITHDRAWAL
2022-11-15,Environmental Services,EFT3000127,12436.77,,819299.57,Salary Expense,WITHDRAWAL
2022-11-16,Antibiotic Treatment,WIR3000128,,3504.93,822804.50,Pharmacy Revenue,DEPOSIT
2022-11-17,Physical Therapy Session,WIR3000129,,2499.91,825304.41,Patient Revenue,DEPOSIT
2022-11-19,Antibiotic Treatment,INV3000130,,6228.53,831532.94,Pharmacy Revenue,DEPOSIT
2022-11-20,Urgent Care Visit,CHK3000131,,2945.40,834478.34,Patient Revenue,DEPOSIT
2022-11-21,Urgent Care Visit,REF3000132,,1609.35,836087.69,Patient Revenue,DEPOSIT
2022-11-26,Allergy Testing Panel,INV3000133,,3467.46,839555.15,Lab Revenue,DEPOSIT
2022-11-27,Diagnostic Services,REF3000134,,2203.82,841758.97,Patient Revenue,DEPOSIT
2022-11-28,Thyroid Function Panel,EFT3000135,,4546.07,846305.04,Lab Revenue,DEPOSIT
2022-11-29,Strategic Reserve Funding,BAL3000136,,4476.24,850781.28,Transfer,TRANSFER
2022-12-01,Reimbursement - Cigna PPO,REF3000137,,14135.35,864916.63,Insurance Revenue,DEPOSIT
2022-12-02,Injectable Medication Sales,TXN3000138,,5962.30,870878.93,Pharmacy Revenue,DEPOSIT
2022-12-04,Advanced Genomic Testing,BAL3000139,,2281.25,873160.18,Lab Revenue,DEPOSIT
2022-12-06,Laboratory Test Kits,BAL3000140,1487.23,,871672.95,Medical Supplies,WITHDRAWAL
2022-12-07,Campus Security,INV3000141,12187.95,,859485.00,Salary Expense,WITHDRAWAL
2022-12-10,Medical Lab Technician,INV3000142,16139.22,,843345.78,Salary Expense,WITHDRAWAL
2022-12-11,Urgent Care Visit,REF3000143,,1106.07,844451.85,Patient Revenue,DEPOSIT
2022-12-13,Respiratory Support,EFT3000144,10877.70,,833574.15,Medical Supplies,WITHDRAWAL
2022-12-14,Patient Balance Settlement,TXN3000145,,2804.56,836378.71,Patient Revenue,DEPOSIT
2022-12-18,Operating Room Bill,ACH3000146,,921.46,837300.17,Patient Revenue,DEPOSIT
2022-12-19,Protective Gear and Clothing,CHK3000147,10108.69,,827191.48,Medical Supplies,WITHDRAWAL
2022-12-21,Reimbursement - United Healthcare,REF3000148,,9892.23,837083.71,Insurance Revenue,DEPOSIT
2022-12-22,Urgent Care Visit,TXN3000149,,3001.04,840084.75,Patient Revenue,DEPOSIT
2022-12-23,Operating Room Bill,CHK3000150,,1954.67,842039.42,Patient Revenue,DEPOSIT
2022-12-24,Medical Image Archive,REF3000151,567.54,,841471.88,Software Expense,WITHDRAWAL
2022-12-25,Physical Therapy Session,TXN3000152,,669.95,842141.83,Patient Revenue,DEPOSIT
2022-12-26,Point of Care Testing,INV3000153,,2904.21,845046.04,Lab Revenue,DEPOSIT
2022-12-27,Behavioral Health Reimbursement,INV3000154,,5724.79,850770.83,Insurance Revenue,DEPOSIT
2023-01-02,Behavioral Health Reimbursement,DEP3000155,,20740.80,871511.63,Insurance Revenue,DEPOSIT
2023-01-04,Reimbursement - Humana Plus,BAL3000156,,1743.87,873255.50,Insurance Revenue,DEPOSIT
2023-01-05,Hypodermic Needles and Syringes,CHK3000157,10704.61,,862550.89,Medical Supplies,WITHDRAWAL
2023-01-06,Operating Room Bill,WIR3000158,,2760.84,865311.73,Patient Revenue,DEPOSIT
2023-01-08,Surgical Adhesives,TXN3000159,2679.15,,862632.58,Medical Supplies,WITHDRAWAL
2023-01-10,Fire Safety System,EFT3000160,950.33,,861682.25,Maintenance,WITHDRAWAL
2023-01-13,Imaging Center Payment,TXN3000161,,2567.57,864249.82,Patient Revenue,DEPOSIT
2023-01-16,Protective Gear and Clothing,WIR3000162,939.10,,863310.72,Medical Supplies,WITHDRAWAL
2023-01-18,Laboratory Test Kits,BAL3000163,2134.34,,861176.38,Medical Supplies,WITHDRAWAL
2023-01-19,Medicare Part B Claim,TXN3000164,,13402.53,874578.91,Insurance Revenue,DEPOSIT
2023-01-23,Patient Beds and Mattresses,BAL3000165,1049.53,,873529.38,Medical Supplies,WITHDRAWAL
2023-01-24,Lift System Maintenance,TXN3000166,3915.12,,869614.26,Maintenance,WITHDRAWAL
2023-01-25,Tissue Sample Analysis,INV3000167,,4100.72,873714.98,Lab Revenue,DEPOSIT
2023-01-29,Environmental Services,ACH3000168,5265.50,,868449.48,Salary Expense,WITHDRAWAL
2023-01-31,Account Service Charge,CHK3000169,42.94,,868406.54,Bank Fees,WITHDRAWAL
2023-02-01,Quality Assurance Testing,DEP3000170,,1862.61,870269.15,Lab Revenue,DEPOSIT
2023-02-02,Quarterly Tax Estimate,ACH3000171,9214.48,,861054.67,Tax Payment,WITHDRAWAL
2023-02-03,Reimbursement - Anthem Select,TXN3000172,,5261.64,866316.31,Insurance Revenue,DEPOSIT
2023-02-06,Operating Room Bill,INV3000173,,2435.99,868752.30,Patient Revenue,DEPOSIT
2023-02-07,Communications Systems,TXN3000174,4156.37,,864595.93,Utilities,WITHDRAWAL
2023-02-08,Administrative Personnel,TXN3000175,8463.33,,856132.60,Salary Expense,WITHDRAWAL
2023-02-11,Operating Room Bill,CHK3000176,,1854.53,857987.13,Patient Revenue,DEPOSIT
2023-02-12,Toxicology Screen,BAL3000177,,3044.57,861031.70,Lab Revenue,DEPOSIT
2023-02-14,Backup Generator Maintenance,DEP3000178,2968.10,,858063.60,Utilities,WITHDRAWAL
2023-02-16,Imaging Center Payment,DEP3000179,,3370.07,861433.67,Patient Revenue,DEPOSIT
2023-02-17,Thyroid Function Panel,EFT3000180,,2366.02,863799.69,Lab Revenue,DEPOSIT
2023-02-19,Advanced Genomic Testing,CHK3000181,,2764.71,866564.40,Lab Revenue,DEPOSIT
2023-02-20,Drug Administration Fee,INV3000182,,1161.15,867725.55,Patient Revenue,DEPOSIT
2023-02-21,Drug Administration Fee,ACH3000183,,3190.95,870916.50,Patient Revenue,DEPOSIT
2023-02-22,Point of Care Testing,REF3000184,,2675.65,873592.15,Lab Revenue,DEPOSIT
2023-02-24,Vaccination Administration,REF3000185,,1656.13,875248.28,Patient Revenue,DEPOSIT
2023-02-25,Reimbursement - Cigna PPO,DEP3000186,,14386.02,889634.30,Insurance Revenue,DEPOSIT
2023-02-27,Protective Gear and Clothing,EFT3000187,4412.27,,885222.03,Medical Supplies,WITHDRAWAL
2023-03-02,Automated Lab Analyzer,REF3000188,32200.66,,853021.37,Equipment,WITHDRAWAL
2023-03-08,IV Therapy Administration,INV3000189,,6382.98,859404.35,Pharmacy Revenue,DEPOSIT
2023-03-09,Clearinghouse Fee,INV3000190,123.49,,859280.86,Bank Fees,WITHDRAWAL
2023-03-11,Comprehensive Metabolic Panel,INV3000191,,3370.21,862651.07,Lab Revenue,DEPOSIT
2023-03-15,Reimbursement - Anthem Select,TXN3000192,,24945.97,887597.04,Insurance Revenue,DEPOSIT
2023-03-17,Reimbursement - Humana Plus,REF3000193,,12337.37,899934.41,Insurance Revenue,DEPOSIT
2023-03-18,Patient Balance Settlement,INV3000194,,1487.75,901422.16,Patient Revenue,DEPOSIT
2023-03-21,Reimbursement - Humana Plus,INV3000195,,3968.04,905390.20,Insurance Revenue,DEPOSIT
2023-03-22,Controlled Substance Dispensing,TXN3000196,,2441.55,907831.75,Pharmacy Revenue,DEPOSIT
2023-03-23,Consultation Fee,REF3000197,,2442.55,910274.30,Patient Revenue,DEPOSIT
2023-03-25,Consultation Fee,EFT3000198,,3478.43,913752.73,Patient Revenue,DEPOSIT
2023-03-30,Reimbursement - United Healthcare,INV3000199,,10904.12,924656.85,Insurance Revenue,DEPOSIT
2023-04-03,MRI Scanner Module,REF3000200,15450.03,,909206.82,Equipment,WITHDRAWAL
2023-04-04,Urgent Care Visit,REF3000201,,1949.04,911155.86,Patient Revenue,DEPOSIT
2023-04-05,Over-the-Counter Sales,BAL3000202,,1340.76,912496.62,Pharmacy Revenue,DEPOSIT
2023-04-06,Controlled Substance Dispensing,EFT3000203,,6349.53,918846.15,Pharmacy Revenue,DEPOSIT
2023-04-07,Clinical Fellow Stipend,INV3000204,11775.16,,907070.99,Salary Expense,WITHDRAWAL
2023-04-08,Emergency Power,EFT3000205,2003.71,,905067.28,Utilities,WITHDRAWAL
2023-04-09,Medical Doctor Compensation,INV3000206,7907.39,,897159.89,Salary Expense,WITHDRAWAL
2023-04-12,Tissue Sample Analysis,ACH3000207,,4641.24,901801.13,Lab Revenue,DEPOSIT
2023-04-13,Consultation Fee,REF3000208,,2206.16,904007.29,Patient Revenue,DEPOSIT
2023-04-14,Drug Administration Fee,DEP3000209,,1036.56,905043.85,Patient Revenue,DEPOSIT
2023-04-15,Comprehensive Metabolic Panel,EFT3000210,,723.15,905767.00,Lab Revenue,DEPOSIT
2023-04-17,Dental Plan Reimbursement,INV3000211,,4396.43,910163.43,Insurance Revenue,DEPOSIT
2023-04-19,Allergy Testing Panel,EFT3000212,,4937.98,915101.41,Lab Revenue,DEPOSIT
2023-04-23,Patient Beds and Mattresses,ACH3000213,1337.97,,913763.44,Medical Supplies,WITHDRAWAL
2023-04-24,Protective Gear and Clothing,ACH3000214,1251.58,,912511.86,Medical Supplies,WITHDRAWAL
2023-04-26,Administrative Personnel,ACH3000215,14227.48,,898284.38,Salary Expense,WITHDRAWAL
2023-04-27,Diagnostic Services,TXN3000216,,1794.43,900078.81,Patient Revenue,DEPOSIT
2023-04-28,Billing and Coding Staff,ACH3000217,18298.06,,881780.75,Salary Expense,WITHDRAWAL
2023-05-02,Medicare Part B Claim,WIR3000218,,13758.61,895539.36,Insurance Revenue,DEPOSIT
2023-05-05,Point of Care Testing,ACH3000219,,2424.15,897963.51,Lab Revenue,DEPOSIT
2023-05-07,Administrative Personnel,REF3000220,5291.44,,892672.07,Salary Expense,WITHDRAWAL
2023-05-14,Operating Room Bill,CHK3000221,,2734.49,895406.56,Patient Revenue,DEPOSIT
2023-05-16,Dental Plan Reimbursement,DEP3000222,,22629.62,918036.18,Insurance Revenue,DEPOSIT
2023-05-27,Dental Plan Reimbursement,CHK3000223,,9273.50,927309.68,Insurance Revenue,DEPOSIT
2023-05-29,Drug Administration Fee,BAL3000224,,1575.45,928885.13,Patient Revenue,DEPOSIT
2023-05-31,Complete Blood Count Test,DEP3000225,,1032.47,929917.60,Lab Revenue,DEPOSIT
2023-06-04,Reimbursement - Anthem Select,ACH3000226,,4375.18,934292.78,Insurance Revenue,DEPOSIT
2023-06-07,IV Therapy Administration,BAL3000227,,3238.16,937530.94,Pharmacy Revenue,DEPOSIT
2023-06-09,Urgent Care Visit,CHK3000228,,1947.48,939478.42,Patient Revenue,DEPOSIT
2023-06-10,Controlled Substance Dispensing,TXN3000229,,6502.52,945980.94,Pharmacy Revenue,DEPOSIT
2023-06-11,Drape and Covering Supplies,DEP3000230,5656.57,,940324.37,Medical Supplies,WITHDRAWAL
2023-06-12,Reimbursement - Blue Cross Blue Shield,CHK3000231,,23548.41,963872.78,Insurance Revenue,DEPOSIT
2023-06-14,Diagnostic Services,CHK3000232,,1142.62,965015.40,Patient Revenue,DEPOSIT
2023-06-19,Diagnostic Services,TXN3000233,,1821.90,966837.30,Patient Revenue,DEPOSIT
2023-06-20,Network and Internet,DEP3000234,2616.51,,964220.79,Utilities,WITHDRAWAL
2023-06-21,Security Incident Response,ACH3000235,1263.25,,962957.54,Software Expense,WITHDRAWAL
2023-06-22,Nursing Staff Payroll,REF3000236,9948.42,,953009.12,Salary Expense,WITHDRAWAL
2023-06-23,Electronic Batch Processing,INV3000237,147.70,,952861.42,Bank Fees,WITHDRAWAL
2023-06-25,Diagnostic Services,WIR3000238,,1867.54,954728.96,Patient Revenue,DEPOSIT
2023-06-26,State Medicaid Program,TXN3000239,,17209.75,971938.71,Insurance Revenue,DEPOSIT
2023-06-29,Prescription Filling Revenue,BAL3000240,,4649.70,976588.41,Pharmacy Revenue,DEPOSIT
2023-06-30,Reimbursement - Blue Cross Blue Shield,DEP3000241,,11940.28,988528.69,Insurance Revenue,DEPOSIT
2023-07-01,Operating Room Bill,EFT3000242,,655.60,989184.29,Patient Revenue,DEPOSIT
2023-07-06,Controlled Substance Dispensing,TXN3000243,,4783.11,993967.40,Pharmacy Revenue,DEPOSIT
2023-07-09,Reimbursement - Cigna PPO,ACH3000244,,15648.88,1009616.28,Insurance Revenue,DEPOSIT
2023-07-10,State Medicaid Program,DEP3000245,,24297.66,1033913.94,Insurance Revenue,DEPOSIT
2023-07-14,Reimbursement - Aetna Health,BAL3000246,,1217.14,1035131.08,Insurance Revenue,DEPOSIT
2023-07-16,Toxicology Screen,TXN3000247,,673.78,1035804.86,Lab Revenue,DEPOSIT
2023-07-18,Complete Blood Count Test,DEP3000248,,4099.24,1039904.10,Lab Revenue,DEPOSIT
2023-07-20,Campus Security,ACH3000249,7965.90,,1031938.20,Salary Expense,WITHDRAWAL
2023-07-21,Sample Management,EFT3000250,2057.79,,1029880.41,Software Expense,WITHDRAWAL
2023-07-22,Environmental Services,TXN3000251,19914.42,,1009965.99,Salary Expense,WITHDRAWAL
2023-07-23,Behavioral Health Reimbursement,WIR3000252,,20882.14,1030848.13,Insurance Revenue,DEPOSIT
2023-07-24,Drug Administration Fee,BAL3000253,,1652.02,1032500.15,Patient Revenue,DEPOSIT
2023-07-26,Water Treatment Services,BAL3000254,2024.89,,1030475.26,Utilities,WITHDRAWAL
2023-07-30,Primary Facility Lease,BAL3000255,8646.43,,1021828.83,Rent Expense,WITHDRAWAL
2023-07-31,Antibiotic Treatment,TXN3000256,,4981.53,1026810.36,Pharmacy Revenue,DEPOSIT
2023-08-01,Heating and Cooling,TXN3000257,1346.27,,1025464.09,Utilities,WITHDRAWAL
2023-08-02,Water Treatment Services,ACH3000258,3185.67,,1022278.42,Utilities,WITHDRAWAL
2023-08-04,Dental Plan Reimbursement,BAL3000259,,13002.74,1035281.16,Insurance Revenue,DEPOSIT
2023-08-05,Clinical Fellow Stipend,CHK3000260,10627.10,,1024654.06,Salary Expense,WITHDRAWAL
2023-08-06,Satellite Clinic Lease,CHK3000261,11895.93,,1012758.13,Rent Expense,WITHDRAWAL
2023-08-10,Visiting Specialist Fees,BAL3000262,8518.26,,1004239.87,Salary Expense,WITHDRAWAL
2023-08-15,Over-the-Counter Sales,BAL3000263,,5012.11,1009251.98,Pharmacy Revenue,DEPOSIT
2023-08-19,Pest Control Treatment,WIR3000264,1051.56,,1008200.42,Maintenance,WITHDRAWAL
